sample_id	run_id	geo_sample_id	donor	condition	sequencing_center	flowcell	lane	condition_name	self_reported_ethnic	AF_admixture	EU_admixture	ethnic_bin
EU294_S2	SRR3472099	GSM2141714	EU294	Salmonella	CHUSJ	run266	5	S	EA	1e-05	0.99999	EA
EU296_L2	SRR3472100	GSM2141715	EU296	Listeria	CHUSJ	run266	5	L	EA	1e-05	0.99999	EA
EU296_NI2	SRR3472101	GSM2141716	EU296	Non-infected	CHUSJ	run266	5	NI	EA	1e-05	0.99999	EA
EU296_S2	SRR3472102	GSM2141717	EU296	Salmonella	CHUSJ	run266	5	S	EA	1e-05	0.99999	EA
EU298_L2	SRR3472103	GSM2141718	EU298	Listeria	CHUSJ	run191	8	L	EA	1e-05	0.99999	EA
EU298_NI2	SRR3472104	GSM2141719	EU298	Non-infected	CHUSJ	run191	8	NI	EA	1e-05	0.99999	EA
EU298_S2	SRR3472105	GSM2141720	EU298	Salmonella	CHUSJ	run191	8	S	EA	1e-05	0.99999	EA
EU300_L2	SRR3472106	GSM2141721	EU300	Listeria	CHUSJ	run192	8	L	EA	1e-05	0.99999	EA
EU300_NI2	SRR3472107	GSM2141722	EU300	Non-infected	CHUSJ	run192	8	NI	EA	1e-05	0.99999	EA
EU300_S2	SRR3472108	GSM2141723	EU300	Salmonella	CHUSJ	run192	8	S	EA	1e-05	0.99999	EA
EU302_L2	SRR3472109	GSM2141724	EU302	Listeria	CHUSJ	run181	1	L	EA	1e-05	0.99999	EA
EU302_NI2	SRR3472110	GSM2141725	EU302	Non-infected	CHUSJ	run181	1	NI	EA	1e-05	0.99999	EA
EU302_S2	SRR3472111	GSM2141726	EU302	Salmonella	CHUSJ	run181	1	S	EA	1e-05	0.99999	EA
EU306_L2	SRR3472112	GSM2141727	EU306	Listeria	CHUSJ	run181	1	L	EA	1e-05	0.99999	EA
EU306_NI2	SRR3472113	GSM2141728	EU306	Non-infected	CHUSJ	run181	1	NI	EA	1e-05	0.99999	EA
EU306_S2	SRR3472114	GSM2141729	EU306	Salmonella	CHUSJ	run181	1	S	EA	1e-05	0.99999	EA
EU40_L2	SRR3472115	GSM2141730	EU40	Listeria	IC	run786	3	L	EA	1e-05	0.99999	EA
EU40_NI2	SRR3472116	GSM2141731	EU40	Non-infected	CHUSJ	run266	7	NI	EA	1e-05	0.99999	EA
EU40_S2	SRR3472117	GSM2141732	EU40	Salmonella	IC	run786	3	S	EA	1e-05	0.99999	EA
EU56_L2	SRR3472118	GSM2141733	EU56	Listeria	IC	run786	7	L	EA	1e-05	0.99999	EA
EU56_NI2	SRR3472119	GSM2141734	EU56	Non-infected	IC	run786	7	NI	EA	1e-05	0.99999	EA
EU56_S2	SRR3472120	GSM2141735	EU56	Salmonella	CHUSJ	run266	7	S	EA	1e-05	0.99999	EA
EU96_L2	SRR3472121	GSM2141736	EU96	Listeria	CHUSJ	run152	1	L	EA	0.182632	0.817368	EA
EU96_NI2	SRR3472122	GSM2141737	EU96	Non-infected	CHUSJ	run152	1	NI	EA	0.182632	0.817368	EA
EU96_S2	SRR3472123	GSM2141738	EU96	Salmonella	CHUSJ	run152	1	S	EA	0.182632	0.817368	EA
EU230_S2	SRR3472024	GSM2141639	EU230	Salmonella	CHUSJ	run266	7	S	EA	1e-05	0.99999	EA
EU232_L2	SRR3472025	GSM2141640	EU232	Listeria	CHUSJ	run156	8	L	EA	1e-05	0.99999	EA
EU232_NI2	SRR3472026	GSM2141641	EU232	Non-infected	CHUSJ	run156	8	NI	EA	1e-05	0.99999	EA
EU232_S2	SRR3472027	GSM2141642	EU232	Salmonella	CHUSJ	run156	8	S	EA	1e-05	0.99999	EA
EU238_L2	SRR3472028	GSM2141643	EU238	Listeria	CHUSJ	run185	1	L	EA	1e-05	0.99999	EA
EU238_NI2	SRR3472029	GSM2141644	EU238	Non-infected	CHUSJ	run185	1	NI	EA	1e-05	0.99999	EA
EU238_S2	SRR3472030	GSM2141645	EU238	Salmonella	CHUSJ	run185	1	S	EA	1e-05	0.99999	EA
EU240_L2	SRR3472031	GSM2141646	EU240	Listeria	CHUSJ	run185	2	L	EA	1e-05	0.99999	EA
EU240_S2	SRR3472032	GSM2141647	EU240	Salmonella	CHUSJ	run185	2	S	EA	1e-05	0.99999	EA
EU242_L2	SRR3472033	GSM2141648	EU242	Listeria	CHUSJ	run185	3	L	EA	1e-05	0.99999	EA
EU242_NI2	SRR3472034	GSM2141649	EU242	Non-infected	CHUSJ	run185	3	NI	EA	1e-05	0.99999	EA
EU242_S2	SRR3472035	GSM2141650	EU242	Salmonella	CHUSJ	run185	3	S	EA	1e-05	0.99999	EA
EU246_L2	SRR3472036	GSM2141651	EU246	Listeria	CHUSJ	run193	7	L	EA	1e-05	0.99999	EA
EU246_S2	SRR3472037	GSM2141652	EU246	Salmonella	CHUSJ	run266	7	S	EA	1e-05	0.99999	EA
EU248_L2	SRR3472038	GSM2141653	EU248	Listeria	CHUSJ	run185	4	L	EA	1e-05	0.99999	EA
EU248_NI2	SRR3472039	GSM2141654	EU248	Non-infected	CHUSJ	run185	4	NI	EA	1e-05	0.99999	EA
EU248_S2	SRR3472040	GSM2141655	EU248	Salmonella	CHUSJ	run192	3	S	EA	1e-05	0.99999	EA
EU252_NI2	SRR3472041	GSM2141656	EU252	Non-infected	CHUSJ	run156	7	NI	EA	1e-05	0.99999	EA
EU252_S2	SRR3472042	GSM2141657	EU252	Salmonella	CHUSJ	run156	7	S	EA	1e-05	0.99999	EA
EU254_L2	SRR3472043	GSM2141658	EU254	Listeria	CHUSJ	run185	5	L	EA	1e-05	0.99999	EA
EU254_NI2	SRR3472044	GSM2141659	EU254	Non-infected	CHUSJ	run185	5	NI	EA	1e-05	0.99999	EA
EU254_S2	SRR3472045	GSM2141660	EU254	Salmonella	CHUSJ	run185	5	S	EA	1e-05	0.99999	EA
EU258_L2	SRR3472046	GSM2141661	EU258	Listeria	CHUSJ	run190	2	L	EA	1e-05	0.99999	EA
EU258_NI2	SRR3472047	GSM2141662	EU258	Non-infected	CHUSJ	run190	2	NI	EA	1e-05	0.99999	EA
EU258_S2	SRR3472048	GSM2141663	EU258	Salmonella	CHUSJ	run190	2	S	EA	1e-05	0.99999	EA
EU260_L2	SRR3472049	GSM2141664	EU260	Listeria	CHUSJ	run190	3	L	EA	1e-05	0.99999	EA
EU260_NI2	SRR3472050	GSM2141665	EU260	Non-infected	CHUSJ	run190	3	NI	EA	1e-05	0.99999	EA
EU260_S2	SRR3472051	GSM2141666	EU260	Salmonella	CHUSJ	run190	3	S	EA	1e-05	0.99999	EA
EU262_L2	SRR3472052	GSM2141667	EU262	Listeria	CHUSJ	run190	4	L	EA	1e-05	0.99999	EA
EU262_NI2	SRR3472053	GSM2141668	EU262	Non-infected	CHUSJ	run190	4	NI	EA	1e-05	0.99999	EA
EU262_S2	SRR3472054	GSM2141669	EU262	Salmonella	CHUSJ	run190	4	S	EA	1e-05	0.99999	EA
EU264_L2	SRR3472055	GSM2141670	EU264	Listeria	CHUSJ	run190	5	L	EA	1e-05	0.99999	EA
EU264_NI2	SRR3472056	GSM2141671	EU264	Non-infected	CHUSJ	run190	5	NI	EA	1e-05	0.99999	EA
EU264_S2	SRR3472057	GSM2141672	EU264	Salmonella	CHUSJ	run190	5	S	EA	1e-05	0.99999	EA
EU266_L2	SRR3472058	GSM2141673	EU266	Listeria	CHUSJ	run190	6	L	EA	1e-05	0.99999	EA
EU266_NI2	SRR3472059	GSM2141674	EU266	Non-infected	CHUSJ	run190	6	NI	EA	1e-05	0.99999	EA
EU266_S2	SRR3472060	GSM2141675	EU266	Salmonella	CHUSJ	run190	6	S	EA	1e-05	0.99999	EA
EU268_L2	SRR3472061	GSM2141676	EU268	Listeria	CHUSJ	run190	7	L	EA	1e-05	0.99999	EA
EU268_NI2	SRR3472062	GSM2141677	EU268	Non-infected	CHUSJ	run190	7	NI	EA	1e-05	0.99999	EA
EU268_S2	SRR3472063	GSM2141678	EU268	Salmonella	CHUSJ	run190	7	S	EA	1e-05	0.99999	EA
EU138_S2	SRR3471964	GSM2141579	EU138	Salmonella	CHUSJ	run156	1	S	EA	1e-05	0.99999	EA
EU140_L2	SRR3471965	GSM2141580	EU140	Listeria	CHUSJ	run191	6	L	EA	1e-05	0.99999	EA
EU140_NI2	SRR3471966	GSM2141581	EU140	Non-infected	CHUSJ	run191	6	NI	EA	1e-05	0.99999	EA
EU140_S2	SRR3471967	GSM2141582	EU140	Salmonella	CHUSJ	run191	6	S	EA	1e-05	0.99999	EA
EU144_L2	SRR3471968	GSM2141583	EU144	Listeria	CHUSJ	run193	1	L	EA	1e-05	0.99999	EA
EU144_NI2	SRR3471969	GSM2141584	EU144	Non-infected	CHUSJ	run193	1	NI	EA	1e-05	0.99999	EA
EU144_S2	SRR3471970	GSM2141585	EU144	Salmonella	CHUSJ	run193	1	S	EA	1e-05	0.99999	EA
EU148_L2	SRR3471971	GSM2141586	EU148	Listeria	CHUSJ	run193	2	L	EA	1e-05	0.99999	EA
EU148_NI2	SRR3471972	GSM2141587	EU148	Non-infected	CHUSJ	run193	2	NI	EA	1e-05	0.99999	EA
EU148_S2	SRR3471973	GSM2141588	EU148	Salmonella	CHUSJ	run193	2	S	EA	1e-05	0.99999	EA
EU152_L2	SRR3471974	GSM2141589	EU152	Listeria	CHUSJ	run191	7	L	EA	1e-05	0.99999	EA
EU152_NI2	SRR3471975	GSM2141590	EU152	Non-infected	CHUSJ	run191	7	NI	EA	1e-05	0.99999	EA
EU152_S2	SRR3471976	GSM2141591	EU152	Salmonella	CHUSJ	run191	7	S	EA	1e-05	0.99999	EA
EU156_L2	SRR3471977	GSM2141592	EU156	Listeria	CHUSJ	run193	3	L	EA	0.083263	0.916737	EA
EU156_NI2	SRR3471978	GSM2141593	EU156	Non-infected	CHUSJ	run193	3	NI	EA	0.083263	0.916737	EA
EU156_S2	SRR3471979	GSM2141594	EU156	Salmonella	CHUSJ	run193	3	S	EA	0.083263	0.916737	EA
EU162_L2	SRR3471980	GSM2141595	EU162	Listeria	CHUSJ	run193	4	L	EA	1e-05	0.99999	EA
EU162_NI2	SRR3471981	GSM2141596	EU162	Non-infected	CHUSJ	run193	4	NI	EA	1e-05	0.99999	EA
EU162_S2	SRR3471982	GSM2141597	EU162	Salmonella	CHUSJ	run193	4	S	EA	1e-05	0.99999	EA
EU164_L2	SRR3471983	GSM2141598	EU164	Listeria	CHUSJ	run191	1	L	EA	1e-05	0.99999	EA
EU164_NI2	SRR3471984	GSM2141599	EU164	Non-infected	CHUSJ	run191	1	NI	EA	1e-05	0.99999	EA
EU164_S2	SRR3471985	GSM2141600	EU164	Salmonella	CHUSJ	run191	1	S	EA	1e-05	0.99999	EA
EU168_L2	SRR3471986	GSM2141601	EU168	Listeria	CHUSJ	run156	4	L	EA	1e-05	0.99999	EA
EU168_NI2	SRR3471987	GSM2141602	EU168	Non-infected	CHUSJ	run156	4	NI	EA	1e-05	0.99999	EA
EU168_S2	SRR3471988	GSM2141603	EU168	Salmonella	CHUSJ	run156	4	S	EA	1e-05	0.99999	EA
EU170_L2	SRR3471989	GSM2141604	EU170	Listeria	CHUSJ	run156	5	L	EA	1e-05	0.99999	EA
EU170_NI2	SRR3471990	GSM2141605	EU170	Non-infected	CHUSJ	run156	5	NI	EA	1e-05	0.99999	EA
EU170_S2	SRR3471991	GSM2141606	EU170	Salmonella	CHUSJ	run156	5	S	EA	1e-05	0.99999	EA
EU184_L2	SRR3471992	GSM2141607	EU184	Listeria	CHUSJ	run152	8	L	EA	1e-05	0.99999	EA
EU184_NI2	SRR3471993	GSM2141608	EU184	Non-infected	CHUSJ	run152	8	NI	EA	1e-05	0.99999	EA
EU184_S2	SRR3471994	GSM2141609	EU184	Salmonella	CHUSJ	run152	8	S	EA	1e-05	0.99999	EA
EU186_L2	SRR3471995	GSM2141610	EU186	Listeria	CHUSJ	run266	6	L	EA	1e-05	0.99999	EA
EU186_NI2	SRR3471996	GSM2141611	EU186	Non-infected	CHUSJ	run266	6	NI	EA	1e-05	0.99999	EA
EU186_S2	SRR3471997	GSM2141612	EU186	Salmonella	CHUSJ	run266	6	S	EA	1e-05	0.99999	EA
EU190_L2	SRR3471998	GSM2141613	EU190	Listeria	CHUSJ	run191	3	L	EA	1e-05	0.99999	EA
EU190_NI2	SRR3471999	GSM2141614	EU190	Non-infected	CHUSJ	run191	3	NI	EA	1e-05	0.99999	EA
EU190_S2	SRR3472000	GSM2141615	EU190	Salmonella	CHUSJ	run191	3	S	EA	1e-05	0.99999	EA
EU200_L2	SRR3472001	GSM2141616	EU200	Listeria	CHUSJ	run191	4	L	EA	0.019008	0.980992	EA
EU200_NI2	SRR3472002	GSM2141617	EU200	Non-infected	CHUSJ	run191	4	NI	EA	0.019008	0.980992	EA
EU200_S2	SRR3472003	GSM2141618	EU200	Salmonella	CHUSJ	run191	4	S	EA	0.019008	0.980992	EA
EU202_L2	SRR3472004	GSM2141619	EU202	Listeria	CHUSJ	run156	8	L	EA	1e-05	0.99999	EA
EU202_NI2	SRR3472005	GSM2141620	EU202	Non-infected	CHUSJ	run156	8	NI	EA	1e-05	0.99999	EA
EU202_S2	SRR3472006	GSM2141621	EU202	Salmonella	CHUSJ	run156	8	S	EA	1e-05	0.99999	EA
EU210_L2	SRR3472007	GSM2141622	EU210	Listeria	CHUSJ	run193	5	L	EA	1e-05	0.99999	EA
EU210_NI2	SRR3472008	GSM2141623	EU210	Non-infected	CHUSJ	run193	5	NI	EA	1e-05	0.99999	EA
EU210_S2	SRR3472009	GSM2141624	EU210	Salmonella	CHUSJ	run193	5	S	EA	1e-05	0.99999	EA
EU212_L2	SRR3472010	GSM2141625	EU212	Listeria	CHUSJ	run193	6	L	EA	1e-05	0.99999	EA
EU212_NI2	SRR3472011	GSM2141626	EU212	Non-infected	CHUSJ	run193	6	NI	EA	1e-05	0.99999	EA
EU212_S2	SRR3472012	GSM2141627	EU212	Salmonella	CHUSJ	run193	6	S	EA	1e-05	0.99999	EA
EU214_L2	SRR3472013	GSM2141628	EU214	Listeria	CHUSJ	run156	6	L	EA	1e-05	0.99999	EA
EU214_NI2	SRR3472014	GSM2141629	EU214	Non-infected	CHUSJ	run156	6	NI	EA	1e-05	0.99999	EA
EU214_S2	SRR3472015	GSM2141630	EU214	Salmonella	CHUSJ	run156	6	S	EA	1e-05	0.99999	EA
EU216_L2	SRR3472016	GSM2141631	EU216	Listeria	CHUSJ	run266	6	L	EA	1e-05	0.99999	EA
EU216_NI2	SRR3472017	GSM2141632	EU216	Non-infected	CHUSJ	run266	6	NI	EA	1e-05	0.99999	EA
EU216_S2	SRR3472018	GSM2141633	EU216	Salmonella	CHUSJ	run266	6	S	EA	1e-05	0.99999	EA
EU224_L2	SRR3472019	GSM2141634	EU224	Listeria	CHUSJ	run193	8	L	EA	1e-05	0.99999	EA
EU224_NI2	SRR3472020	GSM2141635	EU224	Non-infected	CHUSJ	run193	8	NI	EA	1e-05	0.99999	EA
EU224_S2	SRR3472021	GSM2141636	EU224	Salmonella	CHUSJ	run193	8	S	EA	1e-05	0.99999	EA
EU230_L2	SRR3472022	GSM2141637	EU230	Listeria	CHUSJ	run266	7	L	EA	1e-05	0.99999	EA
EU230_NI2	SRR3472023	GSM2141638	EU230	Non-infected	CHUSJ	run266	7	NI	EA	1e-05	0.99999	EA
AF93_NI2	SRR3471924	GSM2141539	AF93	Non-infected	CHUSJ	run152	3	NI	AA	0.464724	0.535276	NA
AF93_S2	SRR3471925	GSM2141540	AF93	Salmonella	CHUSJ	run152	3	S	AA	0.464724	0.535276	NA
AF95_L2	SRR3471926	GSM2141541	AF95	Listeria	CHUSJ	run152	4	L	AA	0.889371	0.110629	AA
AF95_NI2	SRR3471927	GSM2141542	AF95	Non-infected	CHUSJ	run152	4	NI	AA	0.889371	0.110629	AA
AF95_S2	SRR3471928	GSM2141543	AF95	Salmonella	CHUSJ	run152	4	S	AA	0.889371	0.110629	AA
AF97_L2	SRR3471929	GSM2141544	AF97	Listeria	CHUSJ	run156	3	L	AA	1e-05	0.99999	EA
AF97_NI2	SRR3471930	GSM2141545	AF97	Non-infected	CHUSJ	run156	3	NI	AA	1e-05	0.99999	EA
AF97_S2	SRR3471931	GSM2141546	AF97	Salmonella	CHUSJ	run156	3	S	AA	1e-05	0.99999	EA
EU104_L2	SRR3471932	GSM2141547	EU104	Listeria	CHUSJ	run152	2	L	EA	1e-05	0.99999	EA
EU104_NI2	SRR3471933	GSM2141548	EU104	Non-infected	CHUSJ	run152	2	NI	EA	1e-05	0.99999	EA
EU104_S2	SRR3471934	GSM2141549	EU104	Salmonella	CHUSJ	run152	2	S	EA	1e-05	0.99999	EA
EU110_L2	SRR3471935	GSM2141550	EU110	Listeria	CHUSJ	run152	3	L	EA	0.049408	0.950592	EA
EU110_NI2	SRR3471936	GSM2141551	EU110	Non-infected	CHUSJ	run152	3	NI	EA	0.049408	0.950592	EA
EU110_S2	SRR3471937	GSM2141552	EU110	Salmonella	CHUSJ	run152	3	S	EA	0.049408	0.950592	EA
EU118_L2	SRR3471938	GSM2141553	EU118	Listeria	CHUSJ	run152	4	L	EA	1e-05	0.99999	EA
EU118_NI2	SRR3471939	GSM2141554	EU118	Non-infected	CHUSJ	run152	4	NI	EA	1e-05	0.99999	EA
EU118_S2	SRR3471940	GSM2141555	EU118	Salmonella	CHUSJ	run152	4	S	EA	1e-05	0.99999	EA
EU120_L2	SRR3471941	GSM2141556	EU120	Listeria	CHUSJ	run152	5	L	EA	1e-05	0.99999	EA
EU120_NI2	SRR3471942	GSM2141557	EU120	Non-infected	CHUSJ	run152	5	NI	EA	1e-05	0.99999	EA
EU120_S2	SRR3471943	GSM2141558	EU120	Salmonella	CHUSJ	run152	5	S	EA	1e-05	0.99999	EA
EU122_L2	SRR3471944	GSM2141559	EU122	Listeria	CHUSJ	run156	2	L	EA	1e-05	0.99999	EA
EU122_NI2	SRR3471945	GSM2141560	EU122	Non-infected	CHUSJ	run156	2	NI	EA	1e-05	0.99999	EA
EU122_S2	SRR3471946	GSM2141561	EU122	Salmonella	CHUSJ	run156	2	S	EA	1e-05	0.99999	EA
EU126_L2	SRR3471947	GSM2141562	EU126	Listeria	CHUSJ	run191	5	L	EA	1e-05	0.99999	EA
EU126_NI2	SRR3471948	GSM2141563	EU126	Non-infected	CHUSJ	run191	5	NI	EA	1e-05	0.99999	EA
EU126_S2	SRR3471949	GSM2141564	EU126	Salmonella	CHUSJ	run191	5	S	EA	1e-05	0.99999	EA
EU128_L2	SRR3471950	GSM2141565	EU128	Listeria	CHUSJ	run152	6	L	EA	1e-05	0.99999	EA
EU128_NI2	SRR3471951	GSM2141566	EU128	Non-infected	CHUSJ	run152	6	NI	EA	1e-05	0.99999	EA
EU128_S2	SRR3471952	GSM2141567	EU128	Salmonella	CHUSJ	run152	6	S	EA	1e-05	0.99999	EA
EU130_L2	SRR3471953	GSM2141568	EU130	Listeria	CHUSJ	run156	3	L	EA	1e-05	0.99999	EA
EU130_NI2	SRR3471954	GSM2141569	EU130	Non-infected	CHUSJ	run156	3	NI	EA	1e-05	0.99999	EA
EU130_S2	SRR3471955	GSM2141570	EU130	Salmonella	CHUSJ	run156	3	S	EA	1e-05	0.99999	EA
EU134_L2	SRR3471956	GSM2141571	EU134	Listeria	CHUSJ	run152	7	L	EA	1e-05	0.99999	EA
EU134_NI2	SRR3471957	GSM2141572	EU134	Non-infected	CHUSJ	run152	7	NI	EA	1e-05	0.99999	EA
EU134_S2	SRR3471958	GSM2141573	EU134	Salmonella	CHUSJ	run152	7	S	EA	1e-05	0.99999	EA
EU136_L2	SRR3471959	GSM2141574	EU136	Listeria	CHUSJ	run152	8	L	EA	1e-05	0.99999	EA
EU136_NI2	SRR3471960	GSM2141575	EU136	Non-infected	CHUSJ	run152	8	NI	EA	1e-05	0.99999	EA
EU136_S2	SRR3471961	GSM2141576	EU136	Salmonella	CHUSJ	run152	8	S	EA	1e-05	0.99999	EA
EU138_L2	SRR3471962	GSM2141577	EU138	Listeria	CHUSJ	run156	1	L	EA	1e-05	0.99999	EA
EU138_NI2	SRR3471963	GSM2141578	EU138	Non-infected	CHUSJ	run156	1	NI	EA	1e-05	0.99999	EA
AF161_S2	SRR3471864	GSM2141479	AF161	Salmonella	CHUSJ	run266	6	S	AA	0.702467	0.297533	NA
AF163_L2	SRR3471865	GSM2141480	AF163	Listeria	CHUSJ	run192	8	L	AA	1e-05	0.99999	EA
AF163_NI2	SRR3471866	GSM2141481	AF163	Non-infected	CHUSJ	run192	8	NI	AA	1e-05	0.99999	EA
AF163_S2	SRR3471867	GSM2141482	AF163	Salmonella	CHUSJ	run192	8	S	AA	1e-05	0.99999	EA
AF165_L2	SRR3471868	GSM2141483	AF165	Listeria	CHUSJ	run193	8	L	AA	0.810168	0.189832	AA
AF165_NI2	SRR3471869	GSM2141484	AF165	Non-infected	CHUSJ	run193	8	NI	AA	0.810168	0.189832	AA
AF165_S2	SRR3471870	GSM2141485	AF165	Salmonella	CHUSJ	run193	8	S	AA	0.810168	0.189832	AA
AF167_L2	SRR3471871	GSM2141486	AF167	Listeria	CHUSJ	run185	1	L	AA	0.612576	0.387424	NA
AF167_NI2	SRR3471872	GSM2141487	AF167	Non-infected	CHUSJ	run185	1	NI	AA	0.612576	0.387424	NA
AF167_S2	SRR3471873	GSM2141488	AF167	Salmonella	CHUSJ	run185	1	S	AA	0.612576	0.387424	NA
AF169_L2	SRR3471874	GSM2141489	AF169	Listeria	CHUSJ	run185	2	L	AA	0.840663	0.159337	AA
AF169_NI2	SRR3471875	GSM2141490	AF169	Non-infected	CHUSJ	run185	2	NI	AA	0.840663	0.159337	AA
AF169_S2	SRR3471876	GSM2141491	AF169	Salmonella	CHUSJ	run185	2	S	AA	0.840663	0.159337	AA
AF171_L2	SRR3471877	GSM2141492	AF171	Listeria	CHUSJ	run185	3	L	AA	0.781266	0.218734	AA
AF171_NI2	SRR3471878	GSM2141493	AF171	Non-infected	CHUSJ	run185	3	NI	AA	0.781266	0.218734	AA
AF171_S2	SRR3471879	GSM2141494	AF171	Salmonella	CHUSJ	run185	3	S	AA	0.781266	0.218734	AA
AF173_L2	SRR3471880	GSM2141495	AF173	Listeria	CHUSJ	run185	4	L	AA	0.828452	0.171548	AA
AF173_NI2	SRR3471881	GSM2141496	AF173	Non-infected	CHUSJ	run185	4	NI	AA	0.828452	0.171548	AA
AF173_S2	SRR3471882	GSM2141497	AF173	Salmonella	CHUSJ	run185	4	S	AA	0.828452	0.171548	AA
AF175_L2	SRR3471883	GSM2141498	AF175	Listeria	CHUSJ	run191	8	L	AA	0.854548	0.145452	AA
AF175_NI2	SRR3471884	GSM2141499	AF175	Non-infected	CHUSJ	run191	8	NI	AA	0.854548	0.145452	AA
AF175_S2	SRR3471885	GSM2141500	AF175	Salmonella	CHUSJ	run191	8	S	AA	0.854548	0.145452	AA
AF177_L2	SRR3471886	GSM2141501	AF177	Listeria	CHUSJ	run191	5	L	AA	0.652179	0.347821	NA
AF177_NI2	SRR3471887	GSM2141502	AF177	Non-infected	CHUSJ	run191	5	NI	AA	0.652179	0.347821	NA
AF177_S2	SRR3471888	GSM2141503	AF177	Salmonella	CHUSJ	run191	5	S	AA	0.652179	0.347821	NA
AF179_L2	SRR3471889	GSM2141504	AF179	Listeria	CHUSJ	run191	6	L	AA	0.689971	0.310029	NA
