run_accession	instrument_model	fastq_ftp	submitted_ftp	sample_title
ERR2021388	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021388/ERR2021388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.TCG.GM12760.fq.gz	CAGE_2C_TCG_GM12760
ERR2021389	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021389/ERR2021389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.ACT.GM11994.fq.gz	CAGE_2D_ACT_GM11994
ERR2021390	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021390/ERR2021390.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.CGA.GM12716.fq.gz	CAGE_2D_CGA_GM12716
ERR2021391	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021391/ERR2021391.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.CTG.GM12348.fq.gz	CAGE_2D_CTG_GM12348
ERR2021392	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021392/ERR2021392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.GTA.GM12813.fq.gz	CAGE_2D_GTA_GM12813
ERR2021393	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021393/ERR2021393.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.TAC.GM12156.fq.gz	CAGE_2D_TAC_GM12156
ERR2021394	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021394/ERR2021394.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2D.BC.TCG.GM12874.fq.gz	CAGE_2D_TCG_GM12874
ERR2021395	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021395/ERR2021395.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.ACT.GM12400.fq.gz	CAGE_3A_ACT_GM12400
ERR2021396	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021396/ERR2021396.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.CGA.GM12775.fq.gz	CAGE_3A_CGA_GM12775
ERR2021397	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021397/ERR2021397.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.CTG.GM12347.fq.gz	CAGE_3A_CTG_GM12347
ERR2021398	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021398/ERR2021398.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.GTA.GM12718.fq.gz	CAGE_3A_GTA_GM12718
ERR2021399	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021399/ERR2021399.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.TAC.GM12283.fq.gz	CAGE_3A_TAC_GM12283
ERR2021400	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021400/ERR2021400.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3A.BC.TCG.GM12751.fq.gz	CAGE_3A_TCG_GM12751
ERR2021401	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021401/ERR2021401.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.ACT.GM10851.fq.gz	CAGE_3B_ACT_GM10851
ERR2021402	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021402/ERR2021402.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.CGA.GM12272.fq.gz	CAGE_3B_CGA_GM12272
ERR2021403	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021403/ERR2021403.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.CTG.GM12890.fq.gz	CAGE_3B_CTG_GM12890
ERR2021404	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021404/ERR2021404.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.GTA.GM12546.fq.gz	CAGE_3B_GTA_GM12546
ERR2021405	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021405/ERR2021405.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.TAC.GM11930.fq.gz	CAGE_3B_TAC_GM11930
ERR2021406	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021406/ERR2021406.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3B.BC.TCG.GM06985.fq.gz	CAGE_3B_TCG_GM06985
ERR2021407	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021407/ERR2021407.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3C.BC.CGA.GM12282.fq.gz	CAGE_3C_CGA_GM12282
ERR2021408	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021408/ERR2021408.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3C.BC.CTG.GM12341.fq.gz	CAGE_3C_CTG_GM12341
ERR2021409	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021409/ERR2021409.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3C.BC.GTA.GM12249.fq.gz	CAGE_3C_GTA_GM12249
ERR2021410	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021410/ERR2021410.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3C.BC.TAC.GM12045.fq.gz	CAGE_3C_TAC_GM12045
ERR2021411	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021411/ERR2021411.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3D.BC.ACT.GM12155.fq.gz	CAGE_3D_ACT_GM12155
ERR2021412	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021412/ERR2021412.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3D.BC.CGA.GM12005.fq.gz	CAGE_3D_CGA_GM12005
ERR2021413	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021413/ERR2021413.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3D.BC.CTG.GM06989.fq.gz	CAGE_3D_CTG_GM06989
ERR2021414	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021414/ERR2021414.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.3D.BC.GTA.GM12006.fq.gz	CAGE_3D_GTA_GM12006
ERR2021415	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021415/ERR2021415.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.ACT.GM12286.fq.gz	CAGE_4A_ACT_GM12286
ERR2021416	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021416/ERR2021416.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.CGA.GM12873.fq.gz	CAGE_4A_CGA_GM12873
ERR2021417	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021417/ERR2021417.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.CTG.GM12275.fq.gz	CAGE_4A_CTG_GM12275
ERR2021418	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021418/ERR2021418.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.GTA.GM12383.fq.gz	CAGE_4A_GTA_GM12383
ERR2021419	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021419/ERR2021419.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.TAC.GM12889.fq.gz	CAGE_4A_TAC_GM12889
ERR2021420	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021420/ERR2021420.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4A.BC.TCG.GM12762.fq.gz	CAGE_4A_TCG_GM12762
ERR2021421	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021421/ERR2021421.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.ACT.GM11992.fq.gz	CAGE_4B_ACT_GM11992
ERR2021422	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021422/ERR2021422.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.CGA.GM12717.fq.gz	CAGE_4B_CGA_GM12717
ERR2021423	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021423/ERR2021423.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.CTG.GM12748.fq.gz	CAGE_4B_CTG_GM12748
ERR2021424	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021424/ERR2021424.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.GTA.GM11832.fq.gz	CAGE_4B_GTA_GM11832
ERR2021425	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021425/ERR2021425.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.TAC.GM12043.fq.gz	CAGE_4B_TAC_GM12043
ERR2021426	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021426/ERR2021426.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4B.BC.TCG.GM12750.fq.gz	CAGE_4B_TCG_GM12750
ERR2021427	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021427/ERR2021427.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4C.BC.ACT.GM11933.fq.gz	CAGE_4C11_ACT_GM11933
ERR2021428	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021428/ERR2021428.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4C.BC.CGA.GM12830.fq.gz	CAGE_4C11_CGA_GM12830
ERR2021429	Illumina HiSeq 2500		ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4C.BC.CTG.GM11840.fq.gz	CAGE_4C11_CTG_GM11840
ERR2021430	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021430/ERR2021430.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.4C.BC.GTA.GM12878.fq.gz	CAGE_4C11_GTA_GM12878
ERR2021431	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021431/ERR2021431.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.ACT.UC1027.fq.gz	CAGE_5A_ACT_UCB1027
ERR2021432	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021432/ERR2021432.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.CGA.GM12044.fq.gz	CAGE_5A_CGA_GM12044
ERR2021433	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021433/ERR2021433.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.CTG.UC1046.fq.gz	CAGE_5A_CTG_UCB1046
ERR2021434	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021434/ERR2021434.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.GTA.GM12872.fq.gz	CAGE_5A_GTA_GM12872
ERR2021435	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021435/ERR2021435.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.TAC.UC1087.fq.gz	CAGE_5A_TAC_UCB1087
ERR2021436	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021436/ERR2021436.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5A.BC.TCG.UC1061.fq.gz	CAGE_5A_TCG_UCB1061
ERR2021437	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021437/ERR2021437.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5B.BC.ACT.GM12399.fq.gz	CAGE_5B_ACT_GM12399
ERR2021438	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021438/ERR2021438.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5B.BC.CGA.UC1016.fq.gz	CAGE_5B_CGA_UCB1016
ERR2021439	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021439/ERR2021439.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.5B.BC.CTG.UC1023.fq.gz	CAGE_5B_CTG_UCB1023
