sample_id	donor	condition_number	condition_name	ega_id	fq1
CEIGWWYWUQ_1	CEIGWWYWUQ	1	naive	EGAR00001481716	_EGAR00001481716_EIP@CEIGWWYWUQ-1_aligned.fq.gz
CEIGWWYWUQ_3	CEIGWWYWUQ	3	Pam3CSK4	EGAR00001481717	_EGAR00001481717_EIP@CEIGWWYWUQ-3_aligned.fq.gz
CEIGWWYWUQ_4	CEIGWWYWUQ	4	R848	EGAR00001481718	_EGAR00001481718_EIP@CEIGWWYWUQ-4_aligned.fq.gz
CEIGWWYWUQ_5	CEIGWWYWUQ	5	IAV	EGAR00001481719	_EGAR00001481719_EIP@CEIGWWYWUQ-5_aligned.fq.gz
CHOMAAERON_1	CHOMAAERON	1	naive	EGAR00001481720	_EGAR00001481720_EIP@CHOMAAERON-1_aligned.fq.gz
CHOMAAERON_2	CHOMAAERON	2	LPS	EGAR00001481721	_EGAR00001481721_EIP@CHOMAAERON-2_aligned.fq.gz
CHOMAAERON_3	CHOMAAERON	3	Pam3CSK4	EGAR00001481722	_EGAR00001481722_EIP@CHOMAAERON-3_aligned.fq.gz
CHOMAAERON_4	CHOMAAERON	4	R848	EGAR00001481723	_EGAR00001481723_EIP@CHOMAAERON-4_aligned.fq.gz
CHOMAAERON_5	CHOMAAERON	5	IAV	EGAR00001481724	_EGAR00001481724_EIP@CHOMAAERON-5_aligned.fq.gz
CHRHRKPZMN_1	CHRHRKPZMN	1	naive	EGAR00001481725	_EGAR00001481725_EIP@CHRHRKPZMN-1_aligned.fq.gz
CHRHRKPZMN_2	CHRHRKPZMN	2	LPS	EGAR00001481726	_EGAR00001481726_EIP@CHRHRKPZMN-2_aligned.fq.gz
CHRHRKPZMN_4	CHRHRKPZMN	4	R848	EGAR00001481727	_EGAR00001481727_EIP@CHRHRKPZMN-4_aligned.fq.gz
CHRHRKPZMN_5	CHRHRKPZMN	5	IAV	EGAR00001481728	_EGAR00001481728_EIP@CHRHRKPZMN-5_aligned.fq.gz
CJWDOSFVBB_1	CJWDOSFVBB	1	naive	EGAR00001481729	_EGAR00001481729_EIP@CJWDOSFVBB-1_aligned.fq.gz
CJWDOSFVBB_2	CJWDOSFVBB	2	LPS	EGAR00001481730	_EGAR00001481730_EIP@CJWDOSFVBB-2_aligned.fq.gz
CJWDOSFVBB_3	CJWDOSFVBB	3	Pam3CSK4	EGAR00001481731	_EGAR00001481731_EIP@CJWDOSFVBB-3_aligned.fq.gz
CJWDOSFVBB_4	CJWDOSFVBB	4	R848	EGAR00001481732	_EGAR00001481732_EIP@CJWDOSFVBB-4_aligned.fq.gz
CJWDOSFVBB_5	CJWDOSFVBB	5	IAV	EGAR00001481733	_EGAR00001481733_EIP@CJWDOSFVBB-5_aligned.fq.gz
CKSKFKXBVF_1	CKSKFKXBVF	1	naive	EGAR00001481734	_EGAR00001481734_EIP@CKSKFKXBVF-1_aligned.fq.gz
CKSKFKXBVF_2	CKSKFKXBVF	2	LPS	EGAR00001481735	_EGAR00001481735_EIP@CKSKFKXBVF-2_aligned.fq.gz
CKSKFKXBVF_3	CKSKFKXBVF	3	Pam3CSK4	EGAR00001481736	_EGAR00001481736_EIP@CKSKFKXBVF-3_aligned.fq.gz
CKSKFKXBVF_4	CKSKFKXBVF	4	R848	EGAR00001481737	_EGAR00001481737_EIP@CKSKFKXBVF-4_aligned.fq.gz
CKSKFKXBVF_5	CKSKFKXBVF	5	IAV	EGAR00001481738	_EGAR00001481738_EIP@CKSKFKXBVF-5_aligned.fq.gz
CLLGVWCFGV_1	CLLGVWCFGV	1	naive	EGAR00001481739	_EGAR00001481739_EIP@CLLGVWCFGV-1_aligned.fq.gz
CLLGVWCFGV_2	CLLGVWCFGV	2	LPS	EGAR00001481740	_EGAR00001481740_EIP@CLLGVWCFGV-2_aligned.fq.gz
CLLGVWCFGV_3	CLLGVWCFGV	3	Pam3CSK4	EGAR00001481741	_EGAR00001481741_EIP@CLLGVWCFGV-3_aligned.fq.gz
CLLGVWCFGV_4	CLLGVWCFGV	4	R848	EGAR00001481742	_EGAR00001481742_EIP@CLLGVWCFGV-4_aligned.fq.gz
CLLGVWCFGV_5	CLLGVWCFGV	5	IAV	EGAR00001481743	_EGAR00001481743_EIP@CLLGVWCFGV-5_aligned.fq.gz
DFWGMPQXZM_1	DFWGMPQXZM	1	naive	EGAR00001481744	_EGAR00001481744_EIP@DFWGMPQXZM-1_aligned.fq.gz
DFWGMPQXZM_2	DFWGMPQXZM	2	LPS	EGAR00001481745	_EGAR00001481745_EIP@DFWGMPQXZM-2_aligned.fq.gz
DFWGMPQXZM_3	DFWGMPQXZM	3	Pam3CSK4	EGAR00001481746	_EGAR00001481746_EIP@DFWGMPQXZM-3_aligned.fq.gz
DFWGMPQXZM_4	DFWGMPQXZM	4	R848	EGAR00001481747	_EGAR00001481747_EIP@DFWGMPQXZM-4_aligned.fq.gz
DFWGMPQXZM_5	DFWGMPQXZM	5	IAV	EGAR00001481748	_EGAR00001481748_EIP@DFWGMPQXZM-5_aligned.fq.gz
DYLGCKXSAO_1	DYLGCKXSAO	1	naive	EGAR00001481749	_EGAR00001481749_EIP@DYLGCKXSAO-1_aligned.fq.gz
DYLGCKXSAO_2	DYLGCKXSAO	2	LPS	EGAR00001481750	_EGAR00001481750_EIP@DYLGCKXSAO-2_aligned.fq.gz
DYLGCKXSAO_3	DYLGCKXSAO	3	Pam3CSK4	EGAR00001481751	_EGAR00001481751_EIP@DYLGCKXSAO-3_aligned.fq.gz
DYLGCKXSAO_4	DYLGCKXSAO	4	R848	EGAR00001481752	_EGAR00001481752_EIP@DYLGCKXSAO-4_aligned.fq.gz
DYLGCKXSAO_5	DYLGCKXSAO	5	IAV	EGAR00001481753	_EGAR00001481753_EIP@DYLGCKXSAO-5_aligned.fq.gz
EBSIWBAQZU_1	EBSIWBAQZU	1	naive	EGAR00001481754	_EGAR00001481754_EIP@EBSIWBAQZU-1_aligned.fq.gz
EBSIWBAQZU_2	EBSIWBAQZU	2	LPS	EGAR00001481755	_EGAR00001481755_EIP@EBSIWBAQZU-2_aligned.fq.gz
EBSIWBAQZU_3	EBSIWBAQZU	3	Pam3CSK4	EGAR00001481756	_EGAR00001481756_EIP@EBSIWBAQZU-3_aligned.fq.gz
EBSIWBAQZU_4	EBSIWBAQZU	4	R848	EGAR00001481757	_EGAR00001481757_EIP@EBSIWBAQZU-4_aligned.fq.gz
EBSIWBAQZU_5	EBSIWBAQZU	5	IAV	EGAR00001481758	_EGAR00001481758_EIP@EBSIWBAQZU-5_aligned.fq.gz
ECCGCKIIGI_1	ECCGCKIIGI	1	naive	EGAR00001481759	_EGAR00001481759_EIP@ECCGCKIIGI-1_aligned.fq.gz
ECCGCKIIGI_2	ECCGCKIIGI	2	LPS	EGAR00001481760	_EGAR00001481760_EIP@ECCGCKIIGI-2_aligned.fq.gz
ECCGCKIIGI_3	ECCGCKIIGI	3	Pam3CSK4	EGAR00001481761	_EGAR00001481761_EIP@ECCGCKIIGI-3_aligned.fq.gz
ECCGCKIIGI_4	ECCGCKIIGI	4	R848	EGAR00001481762	_EGAR00001481762_EIP@ECCGCKIIGI-4_aligned.fq.gz
ECCGCKIIGI_5	ECCGCKIIGI	5	IAV	EGAR00001481763	_EGAR00001481763_EIP@ECCGCKIIGI-5_aligned.fq.gz
ECPSDTWKPR_1	ECPSDTWKPR	1	naive	EGAR00001481764	_EGAR00001481764_EIP@ECPSDTWKPR-1_aligned.fq.gz
ECPSDTWKPR_2	ECPSDTWKPR	2	LPS	EGAR00001481765	_EGAR00001481765_EIP@ECPSDTWKPR-2_aligned.fq.gz
ECPSDTWKPR_3	ECPSDTWKPR	3	Pam3CSK4	EGAR00001481766	_EGAR00001481766_EIP@ECPSDTWKPR-3_aligned.fq.gz
ECPSDTWKPR_4	ECPSDTWKPR	4	R848	EGAR00001481767	_EGAR00001481767_EIP@ECPSDTWKPR-4_aligned.fq.gz
ECPSDTWKPR_5	ECPSDTWKPR	5	IAV	EGAR00001481768	_EGAR00001481768_EIP@ECPSDTWKPR-5_aligned.fq.gz
EGQKOOQNOD_1	EGQKOOQNOD	1	naive	EGAR00001481769	_EGAR00001481769_EIP@EGQKOOQNOD-1_aligned.fq.gz
EGQKOOQNOD_2	EGQKOOQNOD	2	LPS	EGAR00001481770	_EGAR00001481770_EIP@EGQKOOQNOD-2_aligned.fq.gz
EGQKOOQNOD_3	EGQKOOQNOD	3	Pam3CSK4	EGAR00001481771	_EGAR00001481771_EIP@EGQKOOQNOD-3_aligned.fq.gz
EGQKOOQNOD_4	EGQKOOQNOD	4	R848	EGAR00001481772	_EGAR00001481772_EIP@EGQKOOQNOD-4_aligned.fq.gz
EGQKOOQNOD_5	EGQKOOQNOD	5	IAV	EGAR00001481773	_EGAR00001481773_EIP@EGQKOOQNOD-5_aligned.fq.gz
EJDWQZKQOX_1	EJDWQZKQOX	1	naive	EGAR00001481774	_EGAR00001481774_EIP@EJDWQZKQOX-1_aligned.fq.gz
EJDWQZKQOX_2	EJDWQZKQOX	2	LPS	EGAR00001481775	_EGAR00001481775_EIP@EJDWQZKQOX-2_aligned.fq.gz
EJDWQZKQOX_3	EJDWQZKQOX	3	Pam3CSK4	EGAR00001481776	_EGAR00001481776_EIP@EJDWQZKQOX-3_aligned.fq.gz
EJDWQZKQOX_4	EJDWQZKQOX	4	R848	EGAR00001481777	_EGAR00001481777_EIP@EJDWQZKQOX-4_aligned.fq.gz
EJDWQZKQOX_5	EJDWQZKQOX	5	IAV	EGAR00001481778	_EGAR00001481778_EIP@EJDWQZKQOX-5_aligned.fq.gz
EVLYHISUNM_1	EVLYHISUNM	1	naive	EGAR00001481779	_EGAR00001481779_EIP@EVLYHISUNM-1_aligned.fq.gz
EVLYHISUNM_2	EVLYHISUNM	2	LPS	EGAR00001481780	_EGAR00001481780_EIP@EVLYHISUNM-2_aligned.fq.gz
EVLYHISUNM_3	EVLYHISUNM	3	Pam3CSK4	EGAR00001481781	_EGAR00001481781_EIP@EVLYHISUNM-3_aligned.fq.gz
EVLYHISUNM_4	EVLYHISUNM	4	R848	EGAR00001481782	_EGAR00001481782_EIP@EVLYHISUNM-4_aligned.fq.gz
EVLYHISUNM_5	EVLYHISUNM	5	IAV	EGAR00001481783	_EGAR00001481783_EIP@EVLYHISUNM-5_aligned.fq.gz
EYATHZCGVY_1	EYATHZCGVY	1	naive	EGAR00001481784	_EGAR00001481784_EIP@EYATHZCGVY-1_aligned.fq.gz
EYATHZCGVY_3	EYATHZCGVY	3	Pam3CSK4	EGAR00001481785	_EGAR00001481785_EIP@EYATHZCGVY-3_aligned.fq.gz
EYATHZCGVY_4	EYATHZCGVY	4	R848	EGAR00001481786	_EGAR00001481786_EIP@EYATHZCGVY-4_aligned.fq.gz
EYATHZCGVY_5	EYATHZCGVY	5	IAV	EGAR00001481787	_EGAR00001481787_EIP@EYATHZCGVY-5_aligned.fq.gz
EZGTAOLRPE_1	EZGTAOLRPE	1	naive	EGAR00001481788	_EGAR00001481788_EIP@EZGTAOLRPE-1_aligned.fq.gz
EZGTAOLRPE_2	EZGTAOLRPE	2	LPS	EGAR00001481789	_EGAR00001481789_EIP@EZGTAOLRPE-2_aligned.fq.gz
EZGTAOLRPE_3	EZGTAOLRPE	3	Pam3CSK4	EGAR00001481790	_EGAR00001481790_EIP@EZGTAOLRPE-3_aligned.fq.gz
EZGTAOLRPE_4	EZGTAOLRPE	4	R848	EGAR00001481791	_EGAR00001481791_EIP@EZGTAOLRPE-4_aligned.fq.gz
EZGTAOLRPE_5	EZGTAOLRPE	5	IAV	EGAR00001481792	_EGAR00001481792_EIP@EZGTAOLRPE-5_aligned.fq.gz
FCZBWXQQKR_1	FCZBWXQQKR	1	naive	EGAR00001481793	_EGAR00001481793_EIP@FCZBWXQQKR-1_aligned.fq.gz
FCZBWXQQKR_2	FCZBWXQQKR	2	LPS	EGAR00001481794	_EGAR00001481794_EIP@FCZBWXQQKR-2_aligned.fq.gz
FCZBWXQQKR_3	FCZBWXQQKR	3	Pam3CSK4	EGAR00001481795	_EGAR00001481795_EIP@FCZBWXQQKR-3_aligned.fq.gz
FCZBWXQQKR_4	FCZBWXQQKR	4	R848	EGAR00001481796	_EGAR00001481796_EIP@FCZBWXQQKR-4_aligned.fq.gz
FCZBWXQQKR_5	FCZBWXQQKR	5	IAV	EGAR00001481797	_EGAR00001481797_EIP@FCZBWXQQKR-5_aligned.fq.gz
FHDKOSFRQH_1	FHDKOSFRQH	1	naive	EGAR00001481798	_EGAR00001481798_EIP@FHDKOSFRQH-1_aligned.fq.gz
FHDKOSFRQH_2	FHDKOSFRQH	2	LPS	EGAR00001481799	_EGAR00001481799_EIP@FHDKOSFRQH-2_aligned.fq.gz
FHDKOSFRQH_3	FHDKOSFRQH	3	Pam3CSK4	EGAR00001481800	_EGAR00001481800_EIP@FHDKOSFRQH-3_aligned.fq.gz
FHDKOSFRQH_4	FHDKOSFRQH	4	R848	EGAR00001481801	_EGAR00001481801_EIP@FHDKOSFRQH-4_aligned.fq.gz
FHDKOSFRQH_5	FHDKOSFRQH	5	IAV	EGAR00001481802	_EGAR00001481802_EIP@FHDKOSFRQH-5_aligned.fq.gz
FJZZQOXXPF_1	FJZZQOXXPF	1	naive	EGAR00001481803	_EGAR00001481803_EIP@FJZZQOXXPF-1_aligned.fq.gz
FJZZQOXXPF_2	FJZZQOXXPF	2	LPS	EGAR00001481804	_EGAR00001481804_EIP@FJZZQOXXPF-2_aligned.fq.gz
FJZZQOXXPF_3	FJZZQOXXPF	3	Pam3CSK4	EGAR00001481805	_EGAR00001481805_EIP@FJZZQOXXPF-3_aligned.fq.gz
FJZZQOXXPF_4	FJZZQOXXPF	4	R848	EGAR00001481806	_EGAR00001481806_EIP@FJZZQOXXPF-4_aligned.fq.gz
FJZZQOXXPF_5	FJZZQOXXPF	5	IAV	EGAR00001481807	_EGAR00001481807_EIP@FJZZQOXXPF-5_aligned.fq.gz
FPJXAPNGJR_1	FPJXAPNGJR	1	naive	EGAR00001481808	_EGAR00001481808_EIP@FPJXAPNGJR-1_aligned.fq.gz
FPJXAPNGJR_3	FPJXAPNGJR	3	Pam3CSK4	EGAR00001481809	_EGAR00001481809_EIP@FPJXAPNGJR-3_aligned.fq.gz
FPJXAPNGJR_4	FPJXAPNGJR	4	R848	EGAR00001481810	_EGAR00001481810_EIP@FPJXAPNGJR-4_aligned.fq.gz
FPJXAPNGJR_5	FPJXAPNGJR	5	IAV	EGAR00001481811	_EGAR00001481811_EIP@FPJXAPNGJR-5_aligned.fq.gz
FWHTMZVJTK_1	FWHTMZVJTK	1	naive	EGAR00001481812	_EGAR00001481812_EIP@FWHTMZVJTK-1_aligned.fq.gz
FWHTMZVJTK_2	FWHTMZVJTK	2	LPS	EGAR00001481813	_EGAR00001481813_EIP@FWHTMZVJTK-2_aligned.fq.gz
FWHTMZVJTK_3	FWHTMZVJTK	3	Pam3CSK4	EGAR00001481814	_EGAR00001481814_EIP@FWHTMZVJTK-3_aligned.fq.gz
FWHTMZVJTK_4	FWHTMZVJTK	4	R848	EGAR00001481815	_EGAR00001481815_EIP@FWHTMZVJTK-4_aligned.fq.gz
FWHTMZVJTK_5	FWHTMZVJTK	5	IAV	EGAR00001481816	_EGAR00001481816_EIP@FWHTMZVJTK-5_aligned.fq.gz
FXUTFBSUZS_1	FXUTFBSUZS	1	naive	EGAR00001481817	_EGAR00001481817_EIP@FXUTFBSUZS-1_aligned.fq.gz
FXUTFBSUZS_2	FXUTFBSUZS	2	LPS	EGAR00001481818	_EGAR00001481818_EIP@FXUTFBSUZS-2_aligned.fq.gz
FXUTFBSUZS_3	FXUTFBSUZS	3	Pam3CSK4	EGAR00001481819	_EGAR00001481819_EIP@FXUTFBSUZS-3_aligned.fq.gz
FXUTFBSUZS_4	FXUTFBSUZS	4	R848	EGAR00001481820	_EGAR00001481820_EIP@FXUTFBSUZS-4_aligned.fq.gz
FXUTFBSUZS_5	FXUTFBSUZS	5	IAV	EGAR00001481821	_EGAR00001481821_EIP@FXUTFBSUZS-5_aligned.fq.gz
GDBYOUFZLJ_1	GDBYOUFZLJ	1	naive	EGAR00001481822	_EGAR00001481822_EIP@GDBYOUFZLJ-1_aligned.fq.gz
GDBYOUFZLJ_2	GDBYOUFZLJ	2	LPS	EGAR00001481823	_EGAR00001481823_EIP@GDBYOUFZLJ-2_aligned.fq.gz
GDBYOUFZLJ_3	GDBYOUFZLJ	3	Pam3CSK4	EGAR00001481824	_EGAR00001481824_EIP@GDBYOUFZLJ-3_aligned.fq.gz
GDBYOUFZLJ_4	GDBYOUFZLJ	4	R848	EGAR00001481825	_EGAR00001481825_EIP@GDBYOUFZLJ-4_aligned.fq.gz
GDBYOUFZLJ_5	GDBYOUFZLJ	5	IAV	EGAR00001481826	_EGAR00001481826_EIP@GDBYOUFZLJ-5_aligned.fq.gz
GFDHUTEWGL_1	GFDHUTEWGL	1	naive	EGAR00001481827	_EGAR00001481827_EIP@GFDHUTEWGL-1_aligned.fq.gz
GFDHUTEWGL_3	GFDHUTEWGL	3	Pam3CSK4	EGAR00001481828	_EGAR00001481828_EIP@GFDHUTEWGL-3_aligned.fq.gz
GFDHUTEWGL_4	GFDHUTEWGL	4	R848	EGAR00001481829	_EGAR00001481829_EIP@GFDHUTEWGL-4_aligned.fq.gz
GFDHUTEWGL_5	GFDHUTEWGL	5	IAV	EGAR00001481830	_EGAR00001481830_EIP@GFDHUTEWGL-5_aligned.fq.gz
GHINTYZOBR_1	GHINTYZOBR	1	naive	EGAR00001481831	_EGAR00001481831_EIP@GHINTYZOBR-1_aligned.fq.gz
GHINTYZOBR_2	GHINTYZOBR	2	LPS	EGAR00001481832	_EGAR00001481832_EIP@GHINTYZOBR-2_aligned.fq.gz
GHINTYZOBR_3	GHINTYZOBR	3	Pam3CSK4	EGAR00001481833	_EGAR00001481833_EIP@GHINTYZOBR-3_aligned.fq.gz
GHINTYZOBR_4	GHINTYZOBR	4	R848	EGAR00001481834	_EGAR00001481834_EIP@GHINTYZOBR-4_aligned.fq.gz
GHINTYZOBR_5	GHINTYZOBR	5	IAV	EGAR00001481835	_EGAR00001481835_EIP@GHINTYZOBR-5_aligned.fq.gz
GJJGUCIGPX_1	GJJGUCIGPX	1	naive	EGAR00001481836	_EGAR00001481836_EIP@GJJGUCIGPX-1_aligned.fq.gz
GJJGUCIGPX_2	GJJGUCIGPX	2	LPS	EGAR00001481837	_EGAR00001481837_EIP@GJJGUCIGPX-2_aligned.fq.gz
GJJGUCIGPX_3	GJJGUCIGPX	3	Pam3CSK4	EGAR00001481838	_EGAR00001481838_EIP@GJJGUCIGPX-3_aligned.fq.gz
GJJGUCIGPX_4	GJJGUCIGPX	4	R848	EGAR00001481839	_EGAR00001481839_EIP@GJJGUCIGPX-4_aligned.fq.gz
GJJGUCIGPX_5	GJJGUCIGPX	5	IAV	EGAR00001481840	_EGAR00001481840_EIP@GJJGUCIGPX-5_aligned.fq.gz
GKTUELUAPV_1	GKTUELUAPV	1	naive	EGAR00001481841	_EGAR00001481841_EIP@GKTUELUAPV-1_aligned.fq.gz
GKTUELUAPV_3	GKTUELUAPV	3	Pam3CSK4	EGAR00001481842	_EGAR00001481842_EIP@GKTUELUAPV-3_aligned.fq.gz
GKTUELUAPV_4	GKTUELUAPV	4	R848	EGAR00001481843	_EGAR00001481843_EIP@GKTUELUAPV-4_aligned.fq.gz
GKTUELUAPV_5	GKTUELUAPV	5	IAV	EGAR00001481844	_EGAR00001481844_EIP@GKTUELUAPV-5_aligned.fq.gz
GLJYAHOCRF_1	GLJYAHOCRF	1	naive	EGAR00001481845	_EGAR00001481845_EIP@GLJYAHOCRF-1_aligned.fq.gz
GLJYAHOCRF_2	GLJYAHOCRF	2	LPS	EGAR00001481846	_EGAR00001481846_EIP@GLJYAHOCRF-2_aligned.fq.gz
GLJYAHOCRF_3	GLJYAHOCRF	3	Pam3CSK4	EGAR00001481847	_EGAR00001481847_EIP@GLJYAHOCRF-3_aligned.fq.gz
GLJYAHOCRF_4	GLJYAHOCRF	4	R848	EGAR00001481848	_EGAR00001481848_EIP@GLJYAHOCRF-4_aligned.fq.gz
GLJYAHOCRF_5	GLJYAHOCRF	5	IAV	EGAR00001481849	_EGAR00001481849_EIP@GLJYAHOCRF-5_aligned.fq.gz
GRUVJQSJZM_1	GRUVJQSJZM	1	naive	EGAR00001481850	_EGAR00001481850_EIP@GRUVJQSJZM-1_aligned.fq.gz
GRUVJQSJZM_2	GRUVJQSJZM	2	LPS	EGAR00001481851	_EGAR00001481851_EIP@GRUVJQSJZM-2_aligned.fq.gz
GRUVJQSJZM_3	GRUVJQSJZM	3	Pam3CSK4	EGAR00001481852	_EGAR00001481852_EIP@GRUVJQSJZM-3_aligned.fq.gz
GRUVJQSJZM_4	GRUVJQSJZM	4	R848	EGAR00001481853	_EGAR00001481853_EIP@GRUVJQSJZM-4_aligned.fq.gz
GRUVJQSJZM_5	GRUVJQSJZM	5	IAV	EGAR00001481854	_EGAR00001481854_EIP@GRUVJQSJZM-5_aligned.fq.gz
