use_for_sorting,File_name,sample,treatment,,,,,,,,
539_UT,WTCHG_410449_273194,539,UT,,,,,,,,
539_UT,WTCHG_427074_273194,539,UT,,,,,,,,
539_UT,WTCHG_427075_273194,539,UT,,,,,,,,
539_UT,WTCHG_427076_273194,539,UT,,,,,,,,
539_UT,WTCHG_427077_273194,539,UT,,,,,,,,
539_UT,WTCHG_428526_273194,539,UT,,,,,,,,
539_UT,WTCHG_428527_273194,539,UT,,,,,,,,
539_UT,WTCHG_428528_273194,539,UT,,,,,,,,
539_UT,WTCHG_428529_273194,539,UT,,,,,,,,
539_UT,WTCHG_435168_273194,539,UT,,,,,,,,
539_UT,WTCHG_435169_273194,539,UT,,,,,,,,
539_UT,WTCHG_435170_273194,539,UT,,,,,,,,
539_UT,WTCHG_435171_273194,539,UT,,,,,,,,
539_UT,WTCHG_435172_273194,539,UT,,,,,,,,
539_UT,WTCHG_437968_273194,539,UT,,,,,,,,
539_UT,WTCHG_437969_273194,539,UT,,,,,,,,
539_UT,WTCHG_437970_273194,539,UT,,,,,,,,
539_UT,WTCHG_437971_273194,539,UT,,,,,,,,
542_LPS24,WTCHG_410446_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_410447_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_410448_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_410449_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_427074_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_427075_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_427076_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_427077_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_428526_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_428527_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_428528_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_428529_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_435168_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_435169_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_435170_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_435171_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_435172_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_437968_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_437969_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_437970_282181,542,LPS24,,,,,,,,
542_LPS24,WTCHG_437971_282181,542,LPS24,,,,,,,,
542_UT,WTCHG_410446_281193,542,UT,,,,,,,,
542_UT,WTCHG_410447_281193,542,UT,,,,,,,,
542_UT,WTCHG_410448_281193,542,UT,,,,,,,,
542_UT,WTCHG_410449_281193,542,UT,,,,,,,,
542_UT,WTCHG_427074_281193,542,UT,,,,,,,,
542_UT,WTCHG_427075_281193,542,UT,,,,,,,,
542_UT,WTCHG_427076_281193,542,UT,,,,,,,,
542_UT,WTCHG_427077_281193,542,UT,,,,,,,,
542_UT,WTCHG_428526_281193,542,UT,,,,,,,,
542_UT,WTCHG_428527_281193,542,UT,,,,,,,,
542_UT,WTCHG_428528_281193,542,UT,,,,,,,,
542_UT,WTCHG_428529_281193,542,UT,,,,,,,,
542_UT,WTCHG_435168_281193,542,UT,,,,,,,,
542_UT,WTCHG_435169_281193,542,UT,,,,,,,,
542_UT,WTCHG_435170_281193,542,UT,,,,,,,,
542_UT,WTCHG_435171_281193,542,UT,,,,,,,,
542_UT,WTCHG_435172_281193,542,UT,,,,,,,,
542_UT,WTCHG_437968_281193,542,UT,,,,,,,,
542_UT,WTCHG_437969_281193,542,UT,,,,,,,,
542_UT,WTCHG_437970_281193,542,UT,,,,,,,,
542_UT,WTCHG_437971_281193,542,UT,,,,,,,,
546_LPS24,WTCHG_410446_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_410447_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_410448_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_410449_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_427074_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_427075_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_427076_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_427077_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_428526_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_428527_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_428528_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_428529_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_435168_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_435169_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_435170_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_435171_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_435172_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_437968_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_437969_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_437970_290180,546,LPS24,,,,,,,,
546_LPS24,WTCHG_437971_290180,546,LPS24,,,,,,,,
546_UT,WTCHG_410446_289192,546,UT,,,,,,,,
546_UT,WTCHG_410447_289192,546,UT,,,,,,,,
546_UT,WTCHG_410448_289192,546,UT,,,,,,,,
546_UT,WTCHG_410449_289192,546,UT,,,,,,,,
546_UT,WTCHG_427074_289192,546,UT,,,,,,,,
546_UT,WTCHG_427075_289192,546,UT,,,,,,,,
546_UT,WTCHG_427076_289192,546,UT,,,,,,,,
546_UT,WTCHG_427077_289192,546,UT,,,,,,,,
546_UT,WTCHG_428526_289192,546,UT,,,,,,,,
546_UT,WTCHG_428527_289192,546,UT,,,,,,,,
546_UT,WTCHG_428528_289192,546,UT,,,,,,,,
546_UT,WTCHG_428529_289192,546,UT,,,,,,,,
546_UT,WTCHG_435168_289192,546,UT,,,,,,,,
546_UT,WTCHG_435169_289192,546,UT,,,,,,,,
546_UT,WTCHG_435170_289192,546,UT,,,,,,,,
546_UT,WTCHG_435171_289192,546,UT,,,,,,,,
546_UT,WTCHG_435172_289192,546,UT,,,,,,,,
546_UT,WTCHG_437968_289192,546,UT,,,,,,,,
546_UT,WTCHG_437969_289192,546,UT,,,,,,,,
546_UT,WTCHG_437970_289192,546,UT,,,,,,,,
546_UT,WTCHG_437971_289192,546,UT,,,,,,,,
549_LPS24,WTCHG_410446_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_410447_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_410448_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_410449_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_427074_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_427075_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_427076_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_427077_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_428526_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_428527_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_428528_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_428529_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_435168_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_435169_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_435170_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_435171_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_435172_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_437968_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_437969_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_437970_202179,549,LPS24,,,,,,,,
549_LPS24,WTCHG_437971_202179,549,LPS24,,,,,,,,
549_UT,WTCHG_410446_201191,549,UT,,,,,,,,
549_UT,WTCHG_410447_201191,549,UT,,,,,,,,
549_UT,WTCHG_410448_201191,549,UT,,,,,,,,
549_UT,WTCHG_410449_201191,549,UT,,,,,,,,
549_UT,WTCHG_427074_201191,549,UT,,,,,,,,
549_UT,WTCHG_427075_201191,549,UT,,,,,,,,
549_UT,WTCHG_427076_201191,549,UT,,,,,,,,
549_UT,WTCHG_427077_201191,549,UT,,,,,,,,
549_UT,WTCHG_428526_201191,549,UT,,,,,,,,
549_UT,WTCHG_428527_201191,549,UT,,,,,,,,
549_UT,WTCHG_428528_201191,549,UT,,,,,,,,
549_UT,WTCHG_428529_201191,549,UT,,,,,,,,
549_UT,WTCHG_435168_201191,549,UT,,,,,,,,
549_UT,WTCHG_435169_201191,549,UT,,,,,,,,
549_UT,WTCHG_435170_201191,549,UT,,,,,,,,
549_UT,WTCHG_435171_201191,549,UT,,,,,,,,
549_UT,WTCHG_435172_201191,549,UT,,,,,,,,
549_UT,WTCHG_437968_201191,549,UT,,,,,,,,
549_UT,WTCHG_437969_201191,549,UT,,,,,,,,
549_UT,WTCHG_437970_201191,549,UT,,,,,,,,
549_UT,WTCHG_437971_201191,549,UT,,,,,,,,
553_LPS24,WTCHG_410446_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_410447_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_410448_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_410449_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_427074_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_427075_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_427076_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_427077_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_428526_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_428527_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_428528_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_428529_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_435168_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_435169_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_435170_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_435171_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_435172_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_437968_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_437969_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_437970_210178,553,LPS24,,,,,,,,
553_LPS24,WTCHG_437971_210178,553,LPS24,,,,,,,,
553_UT,WTCHG_410446_209190,553,UT,,,,,,,,
553_UT,WTCHG_410447_209190,553,UT,,,,,,,,
553_UT,WTCHG_410448_209190,553,UT,,,,,,,,
553_UT,WTCHG_410449_209190,553,UT,,,,,,,,
553_UT,WTCHG_427074_209190,553,UT,,,,,,,,
553_UT,WTCHG_427075_209190,553,UT,,,,,,,,
553_UT,WTCHG_427076_209190,553,UT,,,,,,,,
553_UT,WTCHG_427077_209190,553,UT,,,,,,,,
553_UT,WTCHG_428526_209190,553,UT,,,,,,,,
553_UT,WTCHG_428527_209190,553,UT,,,,,,,,
553_UT,WTCHG_428528_209190,553,UT,,,,,,,,
553_UT,WTCHG_428529_209190,553,UT,,,,,,,,
553_UT,WTCHG_435168_209190,553,UT,,,,,,,,
553_UT,WTCHG_435169_209190,553,UT,,,,,,,,
553_UT,WTCHG_435170_209190,553,UT,,,,,,,,
553_UT,WTCHG_435171_209190,553,UT,,,,,,,,
553_UT,WTCHG_435172_209190,553,UT,,,,,,,,
553_UT,WTCHG_437968_209190,553,UT,,,,,,,,
553_UT,WTCHG_437969_209190,553,UT,,,,,,,,
553_UT,WTCHG_437970_209190,553,UT,,,,,,,,
553_UT,WTCHG_437971_209190,553,UT,,,,,,,,
555_LPS24,WTCHG_410446_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_410447_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_410448_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_410449_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_427074_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_427075_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_427076_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_427077_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_428526_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_428527_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_428528_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_428529_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_435168_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_435169_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_435170_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_435171_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_435172_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_437968_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_437969_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_437970_218177,555,LPS24,,,,,,,,
555_LPS24,WTCHG_437971_218177,555,LPS24,,,,,,,,
555_UT,WTCHG_410446_217189,555,UT,,,,,,,,
555_UT,WTCHG_410447_217189,555,UT,,,,,,,,
555_UT,WTCHG_410448_217189,555,UT,,,,,,,,
555_UT,WTCHG_410449_217189,555,UT,,,,,,,,
555_UT,WTCHG_427074_217189,555,UT,,,,,,,,
555_UT,WTCHG_427075_217189,555,UT,,,,,,,,
555_UT,WTCHG_427076_217189,555,UT,,,,,,,,
555_UT,WTCHG_427077_217189,555,UT,,,,,,,,
555_UT,WTCHG_428526_217189,555,UT,,,,,,,,
555_UT,WTCHG_428527_217189,555,UT,,,,,,,,
555_UT,WTCHG_428528_217189,555,UT,,,,,,,,
555_UT,WTCHG_428529_217189,555,UT,,,,,,,,
555_UT,WTCHG_435168_217189,555,UT,,,,,,,,
555_UT,WTCHG_435169_217189,555,UT,,,,,,,,
555_UT,WTCHG_435170_217189,555,UT,,,,,,,,
555_UT,WTCHG_435171_217189,555,UT,,,,,,,,
555_UT,WTCHG_435172_217189,555,UT,,,,,,,,
555_UT,WTCHG_437968_217189,555,UT,,,,,,,,
555_UT,WTCHG_437969_217189,555,UT,,,,,,,,
555_UT,WTCHG_437970_217189,555,UT,,,,,,,,
555_UT,WTCHG_437971_217189,555,UT,,,,,,,,
556_LPS24,WTCHG_410446_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_410447_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_410448_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_410449_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_427074_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_427075_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_427076_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_427077_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_428526_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_428527_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_428528_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_428529_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_435168_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_435169_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_435170_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_435171_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_435172_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_437968_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_437969_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_437970_226176,556,LPS24,,,,,,,,
556_LPS24,WTCHG_437971_226176,556,LPS24,,,,,,,,
556_UT,WTCHG_410446_225188,556,UT,,,,,,,,
556_UT,WTCHG_410447_225188,556,UT,,,,,,,,
556_UT,WTCHG_410448_225188,556,UT,,,,,,,,
556_UT,WTCHG_410449_225188,556,UT,,,,,,,,
556_UT,WTCHG_427074_225188,556,UT,,,,,,,,
556_UT,WTCHG_427075_225188,556,UT,,,,,,,,
556_UT,WTCHG_427076_225188,556,UT,,,,,,,,
556_UT,WTCHG_427077_225188,556,UT,,,,,,,,
556_UT,WTCHG_428526_225188,556,UT,,,,,,,,
556_UT,WTCHG_428527_225188,556,UT,,,,,,,,
556_UT,WTCHG_428528_225188,556,UT,,,,,,,,
556_UT,WTCHG_428529_225188,556,UT,,,,,,,,
556_UT,WTCHG_435168_225188,556,UT,,,,,,,,
556_UT,WTCHG_435169_225188,556,UT,,,,,,,,
556_UT,WTCHG_435170_225188,556,UT,,,,,,,,
556_UT,WTCHG_435171_225188,556,UT,,,,,,,,
556_UT,WTCHG_435172_225188,556,UT,,,,,,,,
556_UT,WTCHG_437968_225188,556,UT,,,,,,,,
556_UT,WTCHG_437969_225188,556,UT,,,,,,,,
556_UT,WTCHG_437970_225188,556,UT,,,,,,,,
556_UT,WTCHG_437971_225188,556,UT,,,,,,,,
557_LPS24,WTCHG_410446_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_410447_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_410448_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_410449_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_427074_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_427075_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_427076_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_427077_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_428526_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_428527_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_428528_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_428529_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_435168_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_435169_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_435170_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_435171_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_435172_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_437968_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_437969_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_437970_234175,557,LPS24,,,,,,,,
557_LPS24,WTCHG_437971_234175,557,LPS24,,,,,,,,
557_UT,WTCHG_410446_233187,557,UT,,,,,,,,
557_UT,WTCHG_410447_233187,557,UT,,,,,,,,
557_UT,WTCHG_410448_233187,557,UT,,,,,,,,
557_UT,WTCHG_410449_233187,557,UT,,,,,,,,
557_UT,WTCHG_427074_233187,557,UT,,,,,,,,
557_UT,WTCHG_427075_233187,557,UT,,,,,,,,
557_UT,WTCHG_427076_233187,557,UT,,,,,,,,
557_UT,WTCHG_427077_233187,557,UT,,,,,,,,
557_UT,WTCHG_428526_233187,557,UT,,,,,,,,
557_UT,WTCHG_428527_233187,557,UT,,,,,,,,
557_UT,WTCHG_428528_233187,557,UT,,,,,,,,
557_UT,WTCHG_428529_233187,557,UT,,,,,,,,
557_UT,WTCHG_435168_233187,557,UT,,,,,,,,
557_UT,WTCHG_435169_233187,557,UT,,,,,,,,
557_UT,WTCHG_435170_233187,557,UT,,,,,,,,
557_UT,WTCHG_435171_233187,557,UT,,,,,,,,
557_UT,WTCHG_435172_233187,557,UT,,,,,,,,
557_UT,WTCHG_437968_233187,557,UT,,,,,,,,
557_UT,WTCHG_437969_233187,557,UT,,,,,,,,
557_UT,WTCHG_437970_233187,557,UT,,,,,,,,
557_UT,WTCHG_437971_233187,557,UT,,,,,,,,
558_LPS24,WTCHG_410446_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_410447_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_410448_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_410449_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_427074_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_427075_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_427076_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_427077_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_428526_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_428527_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_428528_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_428529_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_435168_242174,558,LPS24,,,,,,,,
558_LPS24,WTCHG_435169_242174,558,LPS24,,,,,,,,
