sample_id	donor	condition	replicate	condition_name	SL1344	IFNg	line_id	clone	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	rna_concentration	ng_ul_mean	macrophage_harvest	rna_extraction	rna_submit	library_pool	chemistry	rna_auto	macrophage_diff_days	macrophage_diff_bins	harvest_stimulation_days	max_purity_filtered	mean_purity_filtered	purity_bins
coio_B	coio	B	1	IFNg	control	primed	coio_2	2	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	100-200	162.7075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	6	0.993852099069032	0.974881433339189	high
coio_D	coio	D	1	IFNg_SL1344	infected	primed	coio_2	2	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	100-200	162.7075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	6	0.993852099069032	0.974881433339189	high
coio_C	coio	C	1	SL1344	infected	naive	coio_2	2	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	100-200	162.7075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	6	0.993852099069032	0.974881433339189	high
coxy_A	coxy	A	1	naive	control	naive	coxy_3	3	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20	100-200	121.575	2014-08-23	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	6	0.993983533882204	0.993086341566392	high
coxy_B	coxy	B	1	IFNg	control	primed	coxy_3	3	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20	100-200	121.575	2014-08-23	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	6	0.993983533882204	0.993086341566392	high
coxy_C	coxy	C	1	SL1344	infected	naive	coxy_3	3	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20	100-200	121.575	2014-08-23	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	6	0.993983533882204	0.993086341566392	high
coxy_D	coxy	D	1	IFNg_SL1344	infected	primed	coxy_3	3	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20	100-200	121.575	2014-08-23	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	6	0.993983533882204	0.993086341566392	high
coyi_A	coyi	A	1	naive	control	naive	coyi_3	3	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	0-100	87.0125	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.984481350394773	0.983437698520737	high
coyi_B	coyi	B	1	IFNg	control	primed	coyi_3	3	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	0-100	87.0125	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.984481350394773	0.983437698520737	high
coyi_C	coyi	C	1	SL1344	infected	naive	coyi_3	3	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	0-100	87.0125	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.984481350394773	0.983437698520737	high
coyi_D	coyi	D	1	IFNg_SL1344	infected	primed	coyi_3	3	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	0-100	87.0125	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.984481350394773	0.983437698520737	high
cuau_A	cuau	A	1	naive	control	naive	cuau_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30	100-200	153.9025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	58	50	6	0.989448441247002	0.985291766586731	high
cuau_B	cuau	B	1	IFNg	control	primed	cuau_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30	100-200	153.9025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	58	50	6	0.989448441247002	0.985291766586731	high
cuau_C	cuau	C	1	SL1344	infected	naive	cuau_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30	100-200	153.9025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	58	50	6	0.989448441247002	0.985291766586731	high
cuau_D	cuau	D	1	IFNg_SL1344	infected	primed	cuau_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30	100-200	153.9025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	58	50	6	0.989448441247002	0.985291766586731	high
cups_A	cups	A	1	naive	control	naive	cups_3	3	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	0-100	97.6275	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.978835978835979	0.977788800705467	low
cups_B	cups	B	1	IFNg	control	primed	cups_3	3	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	0-100	97.6275	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.978835978835979	0.977788800705467	low
cups_C	cups	C	1	SL1344	infected	naive	cups_3	3	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	0-100	97.6275	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.978835978835979	0.977788800705467	low
cups_D	cups	D	1	IFNg_SL1344	infected	primed	cups_3	3	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	0-100	97.6275	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.978835978835979	0.977788800705467	low
darw_A	darw	A	1	naive	control	naive	darw_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	0-100	70.35	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	42	40	6	0.990918264379415	0.989460701872407	high
darw_B	darw	B	1	IFNg	control	primed	darw_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	0-100	70.35	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	42	40	6	0.990918264379415	0.989460701872407	high
darw_C	darw	C	1	SL1344	infected	naive	darw_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	0-100	70.35	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	42	40	6	0.990918264379415	0.989460701872407	high
darw_D	darw	D	1	IFNg_SL1344	infected	primed	darw_2	2	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	0-100	70.35	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	42	40	6	0.990918264379415	0.989460701872407	high
debk_A	debk	A	1	naive	control	naive	debk_7	7	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30	0-100	73.9475	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.972025615099427	0.968486686889114	low
debk_B	debk	B	1	IFNg	control	primed	debk_7	7	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30	0-100	73.9475	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.972025615099427	0.968486686889114	low
debk_C	debk	C	1	SL1344	infected	naive	debk_7	7	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30	0-100	73.9475	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.972025615099427	0.968486686889114	low
debk_D	debk	D	1	IFNg_SL1344	infected	primed	debk_7	7	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30	0-100	73.9475	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.972025615099427	0.968486686889114	low
diku_A	diku	A	1	naive	control	naive	diku_1	1	2015-06-11	2015-09-15	33	frozen	E8	2015-10-12	38	2015-10-15	2015-11-13	2015-11-13	2015-11-17	6	2015-11-11	Success	0.9917225950783	0.993959731543624	HPSI0913i-diku_1	1	female	27	30	200+	293.9625	2015-11-06	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	32	30	7	0.993959731543624	0.9917225950783	high
diku_B	diku	B	1	IFNg	control	primed	diku_1	1	2015-06-11	2015-09-15	33	frozen	E8	2015-10-12	38	2015-10-15	2015-11-13	2015-11-13	2015-11-17	6	2015-11-11	Success	0.9917225950783	0.993959731543624	HPSI0913i-diku_1	1	female	27	30	200+	293.9625	2015-11-06	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	32	30	7	0.993959731543624	0.9917225950783	high
diku_C	diku	C	1	SL1344	infected	naive	diku_1	1	2015-06-11	2015-09-15	33	frozen	E8	2015-10-12	38	2015-10-15	2015-11-13	2015-11-13	2015-11-17	6	2015-11-11	Success	0.9917225950783	0.993959731543624	HPSI0913i-diku_1	1	female	27	30	200+	293.9625	2015-11-06	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	32	30	7	0.993959731543624	0.9917225950783	high
diku_D	diku	D	1	IFNg_SL1344	infected	primed	diku_1	1	2015-06-11	2015-09-15	33	frozen	E8	2015-10-12	38	2015-10-15	2015-11-13	2015-11-13	2015-11-17	6	2015-11-11	Success	0.9917225950783	0.993959731543624	HPSI0913i-diku_1	1	female	27	30	200+	293.9625	2015-11-06	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	32	30	7	0.993959731543624	0.9917225950783	high
eika_A	eika	A	1	naive	control	naive	eika_2	2	2015-01-14	2015-02-04	28	frozen	E8	2015-03-02	32	2015-04-05	2015-04-14	2015-04-17	2015-04-13	9	2015-04-20	Success	0.962831286360698	0.96961861667744	HPSI0913i-eika_2	1	male	26	30	0-100	48.295	2015-04-07	2015-04-29	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.96961861667744	0.962831286360698	low
eika_B	eika	B	1	IFNg	control	primed	eika_2	2	2015-01-14	2015-02-04	28	frozen	E8	2015-03-02	32	2015-04-05	2015-04-14	2015-04-17	2015-04-13	9	2015-04-20	Success	0.962831286360698	0.96961861667744	HPSI0913i-eika_2	1	male	26	30	0-100	48.295	2015-04-07	2015-04-29	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.96961861667744	0.962831286360698	low
