"First Author","PubMed ID","Study accession","Publication date",Journal,Title,Trait(s),"Reported trait","Association count","Data access"
"Astle WJ",27863252,GCST004619,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","reticulocyte count","Reticulocyte fraction of red cells",218,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004618,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","basophil count","White blood cell count (basophil)",80,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004617,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","eosinophil percentage of granulocytes","Eosinophil percentage of granulocytes",184,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004616,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","platelet distribution width","Platelet distribution width",206,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004615,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","hemoglobin measurement","Hemoglobin concentration",140,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004612,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","reticulocyte count","High light scatter reticulocyte percentage of red cells",209,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004614,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","granulocyte count","Granulocyte count",155,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004613,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","sum of neutrophil and eosinophil counts","Sum neutrophil eosinophil counts",154,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004611,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","reticulocyte count","High light scatter reticulocyte count",219,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004610,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","leukocyte count","White blood cell count",180,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004609,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","monocyte percentage of white cells","Monocyte percentage of white cells",236,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004608,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","granulocyte percentage of myeloid white cells","Granulocyte percentage of myeloid white cells",220,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004607,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.",plateletcrit,Plateletcrit,272,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004606,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","eosinophil count","Eosinophil counts",209,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004605,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","mean corpuscular hemoglobin concentration","Mean corpuscular hemoglobin concentration",84,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004604,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.",hematocrit,Hematocrit,133,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004603,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","platelet count","Platelet count",287,"FTP Download  or  API access"
"Astle WJ",27863252,GCST004602,2016-11-17,Cell,"The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.","mean corpuscular volume","Mean corpuscular volume",306,"FTP Download  or  API access"
