sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	qtl_mapping	study	ega_id
CHRHRKPZMN_5	CHRHRKPZMN	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481728
CJWDOSFVBB_1	CJWDOSFVBB	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481729
CJWDOSFVBB_2	CJWDOSFVBB	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481730
CJWDOSFVBB_3	CJWDOSFVBB	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481731
CJWDOSFVBB_4	CJWDOSFVBB	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481732
CJWDOSFVBB_5	CJWDOSFVBB	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481733
CKSKFKXBVF_1	CKSKFKXBVF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481734
CKSKFKXBVF_2	CKSKFKXBVF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481735
CKSKFKXBVF_3	CKSKFKXBVF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481736
CKSKFKXBVF_4	CKSKFKXBVF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481737
CKSKFKXBVF_5	CKSKFKXBVF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481738
CLLGVWCFGV_1	CLLGVWCFGV	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481739
CLLGVWCFGV_2	CLLGVWCFGV	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481740
CLLGVWCFGV_3	CLLGVWCFGV	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481741
CLLGVWCFGV_4	CLLGVWCFGV	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481742
CLLGVWCFGV_5	CLLGVWCFGV	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481743
DFWGMPQXZM_1	DFWGMPQXZM	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481744
DFWGMPQXZM_2	DFWGMPQXZM	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481745
DFWGMPQXZM_3	DFWGMPQXZM	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481746
DFWGMPQXZM_4	DFWGMPQXZM	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481747
DFWGMPQXZM_5	DFWGMPQXZM	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481748
DYLGCKXSAO_1	DYLGCKXSAO	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481749
DYLGCKXSAO_2	DYLGCKXSAO	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481750
DYLGCKXSAO_3	DYLGCKXSAO	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481751
DYLGCKXSAO_4	DYLGCKXSAO	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481752
DYLGCKXSAO_5	DYLGCKXSAO	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481753
EBSIWBAQZU_1	EBSIWBAQZU	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481754
EBSIWBAQZU_2	EBSIWBAQZU	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481755
EBSIWBAQZU_3	EBSIWBAQZU	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481756
EBSIWBAQZU_4	EBSIWBAQZU	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481757
EBSIWBAQZU_5	EBSIWBAQZU	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481758
ECCGCKIIGI_1	ECCGCKIIGI	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481759
ECCGCKIIGI_2	ECCGCKIIGI	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481760
ECCGCKIIGI_3	ECCGCKIIGI	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481761
ECCGCKIIGI_4	ECCGCKIIGI	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481762
ECCGCKIIGI_5	ECCGCKIIGI	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481763
ECPSDTWKPR_1	ECPSDTWKPR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481764
ECPSDTWKPR_2	ECPSDTWKPR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481765
ECPSDTWKPR_3	ECPSDTWKPR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481766
ECPSDTWKPR_4	ECPSDTWKPR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481767
ECPSDTWKPR_5	ECPSDTWKPR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481768
EGQKOOQNOD_1	EGQKOOQNOD	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481769
EGQKOOQNOD_2	EGQKOOQNOD	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481770
EGQKOOQNOD_3	EGQKOOQNOD	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481771
EGQKOOQNOD_4	EGQKOOQNOD	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481772
EGQKOOQNOD_5	EGQKOOQNOD	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481773
EJDWQZKQOX_1	EJDWQZKQOX	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481774
EJDWQZKQOX_2	EJDWQZKQOX	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481775
EJDWQZKQOX_3	EJDWQZKQOX	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481776
EJDWQZKQOX_4	EJDWQZKQOX	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481777
EJDWQZKQOX_5	EJDWQZKQOX	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481778
EVLYHISUNM_1	EVLYHISUNM	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481779
EVLYHISUNM_2	EVLYHISUNM	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481780
EVLYHISUNM_3	EVLYHISUNM	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481781
EVLYHISUNM_4	EVLYHISUNM	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481782
EVLYHISUNM_5	EVLYHISUNM	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481783
EYATHZCGVY_1	EYATHZCGVY	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481784
EYATHZCGVY_3	EYATHZCGVY	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481785
EYATHZCGVY_4	EYATHZCGVY	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481786
EYATHZCGVY_5	EYATHZCGVY	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481787
EZGTAOLRPE_1	EZGTAOLRPE	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481788
EZGTAOLRPE_2	EZGTAOLRPE	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481789
EZGTAOLRPE_3	EZGTAOLRPE	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481790
EZGTAOLRPE_4	EZGTAOLRPE	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481791
EZGTAOLRPE_5	EZGTAOLRPE	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481792
FCZBWXQQKR_1	FCZBWXQQKR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481793
FCZBWXQQKR_2	FCZBWXQQKR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481794
FCZBWXQQKR_3	FCZBWXQQKR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481795
FCZBWXQQKR_4	FCZBWXQQKR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481796
FCZBWXQQKR_5	FCZBWXQQKR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481797
FHDKOSFRQH_1	FHDKOSFRQH	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481798
FHDKOSFRQH_2	FHDKOSFRQH	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481799
FHDKOSFRQH_3	FHDKOSFRQH	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481800
FHDKOSFRQH_4	FHDKOSFRQH	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481801
FHDKOSFRQH_5	FHDKOSFRQH	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481802
FJZZQOXXPF_1	FJZZQOXXPF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481803
FJZZQOXXPF_2	FJZZQOXXPF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481804
FJZZQOXXPF_3	FJZZQOXXPF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481805
FJZZQOXXPF_4	FJZZQOXXPF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481806
FJZZQOXXPF_5	FJZZQOXXPF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481807
FPJXAPNGJR_1	FPJXAPNGJR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481808
FPJXAPNGJR_3	FPJXAPNGJR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481809
FPJXAPNGJR_4	FPJXAPNGJR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481810
FPJXAPNGJR_5	FPJXAPNGJR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481811
FWHTMZVJTK_1	FWHTMZVJTK	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481812
FWHTMZVJTK_2	FWHTMZVJTK	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481813
FWHTMZVJTK_3	FWHTMZVJTK	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481814
FWHTMZVJTK_4	FWHTMZVJTK	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481815
FWHTMZVJTK_5	FWHTMZVJTK	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481816
FXUTFBSUZS_1	FXUTFBSUZS	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481817
FXUTFBSUZS_2	FXUTFBSUZS	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481818
FXUTFBSUZS_3	FXUTFBSUZS	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481819
FXUTFBSUZS_4	FXUTFBSUZS	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481820
FXUTFBSUZS_5	FXUTFBSUZS	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481821
GDBYOUFZLJ_1	GDBYOUFZLJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481822
GDBYOUFZLJ_2	GDBYOUFZLJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481823
GDBYOUFZLJ_3	GDBYOUFZLJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481824
GDBYOUFZLJ_4	GDBYOUFZLJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481825
GDBYOUFZLJ_5	GDBYOUFZLJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481826
GFDHUTEWGL_1	GFDHUTEWGL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481827
GFDHUTEWGL_3	GFDHUTEWGL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481828
GFDHUTEWGL_4	GFDHUTEWGL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481829
GFDHUTEWGL_5	GFDHUTEWGL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481830
GHINTYZOBR_1	GHINTYZOBR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481831
GHINTYZOBR_2	GHINTYZOBR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481832
GHINTYZOBR_3	GHINTYZOBR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481833
GHINTYZOBR_4	GHINTYZOBR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481834
GHINTYZOBR_5	GHINTYZOBR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481835
GJJGUCIGPX_1	GJJGUCIGPX	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481836
GJJGUCIGPX_2	GJJGUCIGPX	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481837
GJJGUCIGPX_3	GJJGUCIGPX	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481838
GJJGUCIGPX_4	GJJGUCIGPX	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481839
GJJGUCIGPX_5	GJJGUCIGPX	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481840
GKTUELUAPV_1	GKTUELUAPV	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481841
GKTUELUAPV_3	GKTUELUAPV	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481842
GKTUELUAPV_4	GKTUELUAPV	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481843
GKTUELUAPV_5	GKTUELUAPV	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481844
GLJYAHOCRF_1	GLJYAHOCRF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481845
GLJYAHOCRF_2	GLJYAHOCRF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481846
GLJYAHOCRF_3	GLJYAHOCRF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481847
GLJYAHOCRF_4	GLJYAHOCRF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481848
