sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	ega_id
BQESTUPRFG_1	EIP@BQESTUPRFG	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481706
BQESTUPRFG_2	EIP@BQESTUPRFG	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481707
BQESTUPRFG_3	EIP@BQESTUPRFG	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481708
BQESTUPRFG_4	EIP@BQESTUPRFG	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481709
BQESTUPRFG_5	EIP@BQESTUPRFG	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481710
BTICJJCPYJ_1	EIP@BTICJJCPYJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481711
BTICJJCPYJ_2	EIP@BTICJJCPYJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481712
BTICJJCPYJ_3	EIP@BTICJJCPYJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481713
BTICJJCPYJ_4	EIP@BTICJJCPYJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481714
BTICJJCPYJ_5	EIP@BTICJJCPYJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481715
CEIGWWYWUQ_1	EIP@CEIGWWYWUQ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481716
CEIGWWYWUQ_3	EIP@CEIGWWYWUQ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481717
CEIGWWYWUQ_4	EIP@CEIGWWYWUQ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481718
CEIGWWYWUQ_5	EIP@CEIGWWYWUQ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481719
CHOMAAERON_1	EIP@CHOMAAERON	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481720
CHOMAAERON_2	EIP@CHOMAAERON	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481721
CHOMAAERON_3	EIP@CHOMAAERON	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481722
CHOMAAERON_4	EIP@CHOMAAERON	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481723
CHOMAAERON_5	EIP@CHOMAAERON	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481724
CHRHRKPZMN_1	EIP@CHRHRKPZMN	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481725
CHRHRKPZMN_2	EIP@CHRHRKPZMN	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481726
CHRHRKPZMN_4	EIP@CHRHRKPZMN	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481727
CHRHRKPZMN_5	EIP@CHRHRKPZMN	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481728
CJWDOSFVBB_1	EIP@CJWDOSFVBB	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481729
CJWDOSFVBB_2	EIP@CJWDOSFVBB	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481730
CJWDOSFVBB_3	EIP@CJWDOSFVBB	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481731
CJWDOSFVBB_4	EIP@CJWDOSFVBB	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481732
CJWDOSFVBB_5	EIP@CJWDOSFVBB	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481733
CKSKFKXBVF_1	EIP@CKSKFKXBVF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481734
CKSKFKXBVF_2	EIP@CKSKFKXBVF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481735
CKSKFKXBVF_3	EIP@CKSKFKXBVF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481736
CKSKFKXBVF_4	EIP@CKSKFKXBVF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481737
CKSKFKXBVF_5	EIP@CKSKFKXBVF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481738
CLLGVWCFGV_1	EIP@CLLGVWCFGV	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481739
CLLGVWCFGV_2	EIP@CLLGVWCFGV	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481740
CLLGVWCFGV_3	EIP@CLLGVWCFGV	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481741
CLLGVWCFGV_4	EIP@CLLGVWCFGV	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481742
CLLGVWCFGV_5	EIP@CLLGVWCFGV	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481743
DFWGMPQXZM_1	EIP@DFWGMPQXZM	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481744
DFWGMPQXZM_2	EIP@DFWGMPQXZM	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481745
DFWGMPQXZM_3	EIP@DFWGMPQXZM	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481746
DFWGMPQXZM_4	EIP@DFWGMPQXZM	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481747
DFWGMPQXZM_5	EIP@DFWGMPQXZM	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481748
DYLGCKXSAO_1	EIP@DYLGCKXSAO	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481749
DYLGCKXSAO_2	EIP@DYLGCKXSAO	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481750
DYLGCKXSAO_3	EIP@DYLGCKXSAO	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481751
DYLGCKXSAO_4	EIP@DYLGCKXSAO	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481752
DYLGCKXSAO_5	EIP@DYLGCKXSAO	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481753
EBSIWBAQZU_1	EIP@EBSIWBAQZU	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481754
EBSIWBAQZU_2	EIP@EBSIWBAQZU	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481755
EBSIWBAQZU_3	EIP@EBSIWBAQZU	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481756
EBSIWBAQZU_4	EIP@EBSIWBAQZU	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481757
EBSIWBAQZU_5	EIP@EBSIWBAQZU	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481758
ECCGCKIIGI_1	EIP@ECCGCKIIGI	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481759
ECCGCKIIGI_2	EIP@ECCGCKIIGI	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481760
ECCGCKIIGI_3	EIP@ECCGCKIIGI	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481761
ECCGCKIIGI_4	EIP@ECCGCKIIGI	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481762
ECCGCKIIGI_5	EIP@ECCGCKIIGI	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481763
ECPSDTWKPR_1	EIP@ECPSDTWKPR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481764
ECPSDTWKPR_2	EIP@ECPSDTWKPR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481765
ECPSDTWKPR_3	EIP@ECPSDTWKPR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481766
ECPSDTWKPR_4	EIP@ECPSDTWKPR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481767
ECPSDTWKPR_5	EIP@ECPSDTWKPR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481768
EGQKOOQNOD_1	EIP@EGQKOOQNOD	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481769
EGQKOOQNOD_2	EIP@EGQKOOQNOD	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481770
EGQKOOQNOD_3	EIP@EGQKOOQNOD	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481771
EGQKOOQNOD_4	EIP@EGQKOOQNOD	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481772
EGQKOOQNOD_5	EIP@EGQKOOQNOD	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481773
EJDWQZKQOX_1	EIP@EJDWQZKQOX	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481774
EJDWQZKQOX_2	EIP@EJDWQZKQOX	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481775
EJDWQZKQOX_3	EIP@EJDWQZKQOX	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481776
EJDWQZKQOX_4	EIP@EJDWQZKQOX	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481777
EJDWQZKQOX_5	EIP@EJDWQZKQOX	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481778
EVLYHISUNM_1	EIP@EVLYHISUNM	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481779
EVLYHISUNM_2	EIP@EVLYHISUNM	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481780
EVLYHISUNM_3	EIP@EVLYHISUNM	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481781
EVLYHISUNM_4	EIP@EVLYHISUNM	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481782
EVLYHISUNM_5	EIP@EVLYHISUNM	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481783
EYATHZCGVY_1	EIP@EYATHZCGVY	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481784
EYATHZCGVY_3	EIP@EYATHZCGVY	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481785
EYATHZCGVY_4	EIP@EYATHZCGVY	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481786
EYATHZCGVY_5	EIP@EYATHZCGVY	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481787
EZGTAOLRPE_1	EIP@EZGTAOLRPE	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481788
EZGTAOLRPE_2	EIP@EZGTAOLRPE	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481789
EZGTAOLRPE_3	EIP@EZGTAOLRPE	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481790
EZGTAOLRPE_4	EIP@EZGTAOLRPE	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481791
EZGTAOLRPE_5	EIP@EZGTAOLRPE	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481792
FCZBWXQQKR_1	EIP@FCZBWXQQKR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481793
FCZBWXQQKR_2	EIP@FCZBWXQQKR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481794
FCZBWXQQKR_3	EIP@FCZBWXQQKR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481795
FCZBWXQQKR_4	EIP@FCZBWXQQKR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481796
FCZBWXQQKR_5	EIP@FCZBWXQQKR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481797
FHDKOSFRQH_1	EIP@FHDKOSFRQH	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481798
FHDKOSFRQH_2	EIP@FHDKOSFRQH	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481799
FHDKOSFRQH_3	EIP@FHDKOSFRQH	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481800
FHDKOSFRQH_4	EIP@FHDKOSFRQH	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481801
FHDKOSFRQH_5	EIP@FHDKOSFRQH	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481802
FJZZQOXXPF_1	EIP@FJZZQOXXPF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481803
FJZZQOXXPF_2	EIP@FJZZQOXXPF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481804
FJZZQOXXPF_3	EIP@FJZZQOXXPF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481805
FJZZQOXXPF_4	EIP@FJZZQOXXPF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481806
FJZZQOXXPF_5	EIP@FJZZQOXXPF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481807
FPJXAPNGJR_1	EIP@FPJXAPNGJR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481808
FPJXAPNGJR_3	EIP@FPJXAPNGJR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481809
FPJXAPNGJR_4	EIP@FPJXAPNGJR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481810
FPJXAPNGJR_5	EIP@FPJXAPNGJR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481811
FWHTMZVJTK_1	EIP@FWHTMZVJTK	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481812
FWHTMZVJTK_2	EIP@FWHTMZVJTK	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481813
FWHTMZVJTK_3	EIP@FWHTMZVJTK	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481814
FWHTMZVJTK_4	EIP@FWHTMZVJTK	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481815
FWHTMZVJTK_5	EIP@FWHTMZVJTK	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481816
FXUTFBSUZS_1	EIP@FXUTFBSUZS	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481817
FXUTFBSUZS_2	EIP@FXUTFBSUZS	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481818
FXUTFBSUZS_3	EIP@FXUTFBSUZS	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481819
FXUTFBSUZS_4	EIP@FXUTFBSUZS	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481820
FXUTFBSUZS_5	EIP@FXUTFBSUZS	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481821
GDBYOUFZLJ_1	EIP@GDBYOUFZLJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481822
GDBYOUFZLJ_2	EIP@GDBYOUFZLJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481823
GDBYOUFZLJ_3	EIP@GDBYOUFZLJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481824
GDBYOUFZLJ_4	EIP@GDBYOUFZLJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481825
GDBYOUFZLJ_5	EIP@GDBYOUFZLJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481826
GFDHUTEWGL_1	EIP@GFDHUTEWGL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481827
GFDHUTEWGL_3	EIP@GFDHUTEWGL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481828
GFDHUTEWGL_4	EIP@GFDHUTEWGL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481829
