!Sample_title	!Sample_geo_accession	!Sample_status	!Sample_submission_date	!Sample_last_update_date	!Sample_type	!Sample_channel_count	!Sample_source_name_ch1	!Sample_organism_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_molecule_ch1	!Sample_extract_protocol_ch1	!Sample_label_ch1	!Sample_label_protocol_ch1	!Sample_taxid_ch1	!Sample_hyb_protocol	!Sample_scan_protocol	!Sample_data_processing	!Sample_platform_id	!Sample_contact_name	!Sample_contact_laboratory	!Sample_contact_department	!Sample_contact_institute	!Sample_contact_address	!Sample_contact_city	!Sample_contact_state	!Sample_contact_zip/postal_code	!Sample_contact_country	!Sample_supplementary_file	!Sample_data_row_count	!Sample_relation
IGTB30.14	GSM1351319	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 28	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 2	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351319/suppl/GSM1351319_EA10047_130346_HUGENE-1_0-ST-V1_IGTB30.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB32.14	GSM1351320	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 28	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351320/suppl/GSM1351320_EA10047_113608_HUGENE-1_0-ST-V1_IGTB32.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB40.14	GSM1351321	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 25	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351321/suppl/GSM1351321_EA10047_113492_HUGENE-1_0-ST-V1_IGTB40.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB64.F14	GSM1351322	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 29	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 5	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351322/suppl/GSM1351322_EA10047_234106_HUGENE-1_0-ST-V1_IGTB64.F14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB67.14	GSM1351323	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 32	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 3	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351323/suppl/GSM1351323_EA10047_148827_HUGENE-1_0-ST-V1_IGTB67.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB72.14	GSM1351324	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 31	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351324/suppl/GSM1351324_EA10047_113494_HUGENE-1_0-ST-V1_IGTB72.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB92.14	GSM1351325	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 44	Sex: Female	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351325/suppl/GSM1351325_EA10047_113522_HUGENE-1_0-ST-V1_IGTB92.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB97.14	GSM1351326	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 38	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351326/suppl/GSM1351326_EA10047_113568_HUGENE-1_0-ST-V1_IGTB97.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB100.14	GSM1351327	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 47	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351327/suppl/GSM1351327_EA10047_113542_HUGENE-1_0-ST-V1_IGTB100.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB104.14	GSM1351328	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 51	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351328/suppl/GSM1351328_EA10047_113524_HUGENE-1_0-ST-V1_IGTB104.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB107.14	GSM1351329	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 20	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351329/suppl/GSM1351329_EA10047_113484_HUGENE-1_0-ST-V1_IGTB107.14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB107.F14	GSM1351330	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 20	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 6	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351330/suppl/GSM1351330_EA10047_239705_HUGENE-1_0-ST-V1_IGTB107.F14.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB108.14	GSM1351331	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_monocytes from PBMCs	Homo sapiens	age (yrs): 44	Sex: Male	cell type: monocytes from peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD14+	exclusion markers: CD3- CD16-	phenotype markers: CD3- CD14+ CD16-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1351nnn/GSM1351331/suppl/GSM1351331_EA10047_113558_HUGENE-1_0-ST-V1_IGTB108.14.CEL.gz	21727	Reanalyzed by: GSE86357
